"2025-07-31,10.1638"
"2025-08-07,10.1991"
"2025-08-14,10.253"
"2025-08-22,10.5578"
"2025-09-01,10.561"
"2025-09-08,10.7631"
"2025-09-15,10.6829"
"2025-09-22,10.7515"
"2025-09-29,10.444"
"2025-10-07,10.5534"
"2025-10-14,10.5712"
"2025-10-23,10.8307"
"2025-10-30,10.77"
"2025-11-07,10.5752"
"2025-11-14,10.6854"
"2025-11-21,10.7843"
"2025-11-28,10.7676"
"2025-12-05,10.6727"
"2025-12-12,10.5305"
"2025-12-19,10.5339"
"2025-12-29,10.5255"
"2026-01-05,10.597"
"2026-01-12,10.414"
"2026-01-20,10.0567"
"2026-01-28,9.8818"
"2026-02-03,10.0268"
"2026-02-10,10.3144"
"2026-02-17,10.2447"
"2026-02-24,10.0745"
"2026-03-04,9.6756"
"2026-03-11,9.4281"
"2026-03-18,9.4117"
"2026-03-25,9.2615"
"2026-04-02,9.0495"
"2026-04-10,9.6463"
"2026-04-20,9.7951"
"2026-04-27,9.7779"
"2026-05-05,9.7811"
"2026-05-12,9.5639"
"2026-05-19,9.6704"
"2026-05-26,9.7333"
"2026-06-03,9.5255"
"2026-06-10,9.5086"
"2026-06-17,9.8879"
"2026-06-24,9.8763"
"2026-07-02,10.111"
"2026-07-09,10.0582"
"2026-07-16,10.0321"
"2026-07-23,10.1279"
"2026-07-30,10.4005"
