"2025-07-31,10.8422"
"2025-08-01,10.6935"
"2025-08-04,10.8072"
"2025-08-05,10.782"
"2025-08-06,10.6741"
"2025-08-07,10.6891"
"2025-08-08,10.545"
"2025-08-11,10.6047"
"2025-08-12,10.5894"
"2025-08-13,10.656"
"2025-08-14,10.6259"
"2025-08-18,10.7545"
"2025-08-19,10.8466"
"2025-08-20,10.8912"
"2025-08-21,10.8648"
"2025-08-22,10.848"
"2025-08-25,10.847"
"2025-08-26,10.6749"
"2025-08-28,10.5512"
"2025-08-29,10.5022"
"2025-09-01,10.6696"
"2025-09-02,10.7036"
"2025-09-03,10.7797"
"2025-09-04,10.7114"
"2025-09-05,10.7245"
"2025-09-08,10.7568"
"2025-09-09,10.7799"
"2025-09-10,10.8705"
"2025-09-11,10.8728"
"2025-09-12,10.9039"
"2025-09-15,10.9565"
"2025-09-16,11.0275"
"2025-09-17,11.0594"
"2025-09-18,11.0834"
"2025-09-19,11.0896"
"2025-09-22,11.0135"
"2025-09-23,10.9727"
"2025-09-24,10.8898"
"2025-09-25,10.8186"
"2025-09-26,10.6043"
"2025-09-29,10.6143"
"2025-09-30,10.6243"
"2025-10-01,10.7214"
"2025-10-03,10.8114"
"2025-10-06,10.8623"
"2025-10-07,10.893"
"2025-10-08,10.8218"
"2025-10-09,10.8903"
"2025-10-10,10.9417"
"2025-10-13,10.9305"
"2025-10-14,10.8475"
"2025-10-15,10.9436"
"2025-10-16,10.9913"
"2025-10-17,10.9431"
"2025-10-20,11.0081"
"2025-10-23,11.0285"
"2025-10-24,11.0072"
"2025-10-27,11.0877"
"2025-10-28,11.0904"
"2025-10-29,11.1484"
"2025-10-30,11.1337"
"2025-10-31,11.0774"
"2025-11-03,11.1588"
"2025-11-04,11.1064"
"2025-11-06,10.9806"
"2025-11-07,11.0084"
"2025-11-10,11.0412"
"2025-11-11,11.0679"
"2025-11-12,11.1493"
"2025-11-13,11.1103"
"2025-11-14,11.1211"
"2025-11-17,11.1948"
"2025-11-18,11.1114"
"2025-11-19,11.1193"
"2025-11-20,11.1127"
"2025-11-21,10.9836"
"2025-11-26,11.0911"
"2025-11-27,11.0774"
"2025-11-28,11.061"
"2025-12-02,11.0298"
"2025-12-03,10.9493"
"2025-12-04,10.9367"
"2025-12-05,10.9439"
"2025-12-08,10.7377"
"2025-12-09,10.7998"
"2025-12-10,10.7063"
"2025-12-11,10.7873"
"2025-12-12,10.9001"
"2025-12-15,10.907"
"2025-12-16,10.8238"
"2025-12-17,10.7589"
"2025-12-18,10.7682"
"2025-12-19,10.8981"
"2025-12-22,10.9915"
"2025-12-23,11.0146"
"2025-12-24,10.9819"
"2025-12-26,10.9561"
"2025-12-29,10.9058"
"2025-12-31,10.9959"
"2026-01-01,11.0209"
"2026-01-02,11.1167"
"2026-01-05,11.1182"
"2026-01-06,11.0914"
"2026-01-07,11.1278"
"2026-01-08,10.9165"
"2026-01-09,10.7901"
"2026-01-12,10.753"
"2026-01-13,10.7662"
"2026-01-14,10.7995"
"2026-01-16,10.784"
"2026-01-19,10.7116"
"2026-01-20,10.4402"
"2026-01-21,10.3444"
"2026-01-22,10.4584"
"2026-01-23,10.272"
"2026-01-27,10.3134"
"2026-01-28,10.4895"
"2026-01-29,10.4959"
"2026-01-30,10.5277"
"2026-02-01,10.3039"
"2026-02-02,10.3903"
"2026-02-03,10.6918"
"2026-02-04,10.7614"
"2026-02-05,10.7023"
"2026-02-06,10.6898"
"2026-02-09,10.8924"
"2026-02-10,10.9402"
"2026-02-11,10.9501"
"2026-02-12,10.8871"
"2026-02-13,10.7093"
"2026-02-16,10.7378"
"2026-02-17,10.7842"
"2026-02-18,10.8412"
"2026-02-19,10.6857"
"2026-02-20,10.7139"
"2026-02-23,10.7161"
"2026-02-24,10.6749"
"2026-02-25,10.7419"
"2026-02-26,10.7853"
"2026-02-27,10.6715"
"2026-03-02,10.4831"
"2026-03-04,10.2571"
"2026-03-05,10.409"
"2026-03-06,10.3528"
"2026-03-09,10.1328"
"2026-03-10,10.3115"
"2026-03-11,10.2206"
"2026-03-12,10.1915"
"2026-03-13,9.9201"
"2026-03-16,9.8832"
"2026-03-17,9.9688"
"2026-03-18,10.1505"
"2026-03-19,9.8569"
"2026-03-20,9.904"
"2026-03-23,9.5278"
"2026-03-24,9.7607"
"2026-03-25,9.992"
"2026-03-27,9.7829"
"2026-03-30,9.5367"
"2026-04-01,9.7787"
"2026-04-02,9.7524"
"2026-04-06,9.8767"
"2026-04-07,9.8857"
"2026-04-08,10.2714"
"2026-04-09,10.293"
"2026-04-10,10.4558"
"2026-04-13,10.4005"
"2026-04-15,10.6321"
"2026-04-16,10.7082"
"2026-04-17,10.8462"
"2026-04-20,10.8261"
"2026-04-21,10.8922"
"2026-04-22,10.9463"
"2026-04-23,10.8973"
"2026-04-24,10.7871"
"2026-04-27,10.9567"
"2026-04-28,10.9652"
"2026-04-29,10.9798"
"2026-04-30,10.8947"
"2026-05-04,10.9785"
"2026-05-05,10.9935"
"2026-05-06,11.1821"
"2026-05-07,11.3003"
"2026-05-08,11.2963"
"2026-05-11,11.1752"
"2026-05-12,10.8777"
"2026-05-13,10.9327"
"2026-05-14,11.019"
"2026-05-15,10.9731"
"2026-05-18,10.9021"
"2026-05-19,10.9987"
"2026-05-20,11.0291"
"2026-05-21,11.0614"
"2026-05-22,11.0646"
"2026-05-25,11.1681"
"2026-05-26,11.2079"
"2026-05-27,11.2568"
"2026-05-29,11.1312"
"2026-06-01,11.0045"
"2026-06-02,11.0372"
"2026-06-03,11.0122"
"2026-06-04,11.0642"
"2026-06-05,11.044"
"2026-06-08,10.8718"
"2026-06-09,11.0136"
"2026-06-10,10.8758"
"2026-06-11,10.7842"
"2026-06-12,11.0499"
"2026-06-15,11.1997"
"2026-06-16,11.2442"
"2026-06-17,11.308"
"2026-06-18,11.366"
"2026-06-19,11.4162"
"2026-06-22,11.4763"
"2026-06-23,11.3826"
"2026-06-24,11.3969"
"2026-06-25,11.3412"
"2026-06-29,11.2989"
"2026-06-30,11.3506"
"2026-07-01,11.383"
"2026-07-02,11.459"
