"2025-07-31,55.339"
"2025-08-07,54.7712"
"2025-08-14,54.8713"
"2025-08-22,55.755"
"2025-09-01,55.1647"
"2025-09-08,55.6312"
"2025-09-15,56.384"
"2025-09-22,56.7455"
"2025-09-29,55.2884"
"2025-10-07,56.3611"
"2025-10-14,56.3483"
"2025-10-23,57.7198"
"2025-10-30,57.8566"
"2025-11-07,56.9867"
"2025-11-14,57.724"
"2025-11-21,57.8195"
"2025-11-28,58.2185"
"2025-12-05,57.9335"
"2025-12-12,57.7495"
"2025-12-19,57.5815"
"2025-12-29,57.3775"
"2026-01-05,58.1817"
"2026-01-12,56.8119"
"2026-01-20,55.5469"
"2026-01-28,55.6578"
"2026-02-03,56.6968"
"2026-02-10,57.4911"
"2026-02-17,57.058"
"2026-02-24,56.4291"
"2026-03-04,54.1865"
"2026-03-11,53.0567"
"2026-03-18,52.7704"
"2026-03-25,51.7468"
"2026-04-02,50.3313"
"2026-04-10,53.8342"
"2026-04-20,54.7621"
"2026-04-27,54.7022"
"2026-05-05,54.6699"
"2026-05-12,53.6381"
"2026-05-19,54.321"
"2026-05-26,55.2973"
"2026-06-03,54.3286"
"2026-06-10,53.9343"
"2026-06-17,56.0078"
"2026-06-24,56.3851"
"2026-07-02,56.6909"
"2026-07-09,56.3134"
"2026-07-16,56.679"
"2026-07-23,55.9653"
"2026-07-30,56.7399"
