"2025-07-31,59.0038"
"2025-08-07,58.5679"
"2025-08-14,58.6202"
"2025-08-22,59.5048"
"2025-09-01,58.8094"
"2025-09-08,59.3692"
"2025-09-15,60.1427"
"2025-09-22,60.6085"
"2025-09-29,59.0231"
"2025-10-07,60.2323"
"2025-10-14,60.0823"
"2025-10-23,61.736"
"2025-10-30,61.9313"
"2025-11-07,61.1976"
"2025-11-14,62.155"
"2025-11-21,62.1804"
"2025-11-28,62.6161"
"2025-12-05,62.3327"
"2025-12-12,62.1268"
"2025-12-19,62.0679"
"2025-12-29,61.9628"
"2026-01-05,62.7995"
"2026-01-12,61.4497"
"2026-01-20,60.1004"
"2026-01-28,60.3484"
"2026-02-03,61.491"
"2026-02-10,62.3168"
"2026-02-17,61.8535"
"2026-02-24,61.1443"
"2026-03-04,58.8086"
"2026-03-11,57.5939"
"2026-03-18,57.1765"
"2026-03-25,56.2077"
"2026-04-02,54.942"
"2026-04-10,58.5731"
"2026-04-20,59.5733"
"2026-04-27,59.3917"
"2026-05-05,59.3367"
"2026-05-12,58.0969"
"2026-05-19,58.5982"
"2026-05-26,59.5939"
"2026-06-03,58.4765"
"2026-06-10,58.117"
"2026-06-17,60.5583"
"2026-06-24,60.8065"
"2026-07-02,61.223"
"2026-07-09,60.7467"
"2026-07-16,61.0569"
"2026-07-23,60.2565"
"2026-07-30,61.4288"
