"2025-07-31,10"
"2025-08-07,10.0021"
"2025-08-14,10.0452"
"2025-08-22,10.346"
"2025-09-01,10.3485"
"2025-09-08,10.5405"
"2025-09-15,10.462"
"2025-09-22,10.5294"
"2025-09-29,10.2327"
"2025-10-07,10.3377"
"2025-10-14,10.355"
"2025-10-23,10.6085"
"2025-10-30,10.5495"
"2025-11-07,10.3585"
"2025-11-14,10.4657"
"2025-11-21,10.5618"
"2025-11-28,10.5394"
"2025-12-05,10.4527"
"2025-12-12,10.3158"
"2025-12-19,10.3191"
"2025-12-29,10.3113"
"2026-01-05,10.382"
"2026-01-12,10.2048"
"2026-01-20,9.8559"
"2026-01-28,9.684"
"2026-02-03,9.8139"
"2026-02-10,10.0906"
"2026-02-17,10.0234"
"2026-02-24,9.8587"
"2026-03-04,9.4734"
"2026-03-11,9.2309"
"2026-03-18,9.2148"
"2026-03-25,9.0662"
"2026-04-02,8.8591"
"2026-04-10,9.4374"
"2026-04-20,9.5834"
"2026-04-27,9.5652"
"2026-05-05,9.5668"
"2026-05-12,9.3553"
"2026-05-19,9.4592"
"2026-05-26,9.517"
"2026-06-03,9.3103"
"2026-06-10,9.2958"
"2026-06-17,9.6727"
"2026-06-24,9.6605"
"2026-07-02,9.8807"
"2026-07-09,9.8267"
"2026-07-16,9.8014"
"2026-07-23,9.8961"
"2026-07-30,10.1598"
