"2025-07-31,9.937"
"2025-08-07,9.8726"
"2025-08-14,9.8933"
"2025-08-22,10.026"
"2025-09-01,9.9092"
"2025-09-08,9.9974"
"2025-09-15,10.1244"
"2025-09-22,10.1954"
"2025-09-29,9.9653"
"2025-10-07,10.1702"
"2025-10-14,10.2079"
"2025-10-23,10.5096"
"2025-10-30,10.5156"
"2025-11-07,10.3893"
"2025-11-14,10.5435"
"2025-11-21,10.5814"
"2025-11-28,10.6502"
"2025-12-05,10.6035"
"2025-12-12,10.6018"
"2025-12-19,10.6366"
"2025-12-29,10.6035"
"2026-01-05,10.7289"
"2026-01-12,10.4931"
"2026-01-20,10.2727"
"2026-01-28,10.3119"
"2026-02-03,10.4854"
"2026-02-10,10.6136"
"2026-02-17,10.53"
"2026-02-24,10.4133"
"2026-03-04,10.0156"
"2026-03-11,9.7959"
"2026-03-18,9.7346"
"2026-03-25,9.5605"
"2026-04-02,9.3398"
"2026-04-10,9.9437"
"2026-04-20,10.0881"
"2026-04-27,10.0384"
"2026-05-05,10.0288"
"2026-05-12,9.7913"
"2026-05-19,9.8732"
"2026-05-26,10.0319"
"2026-06-03,9.8465"
"2026-06-10,9.8128"
"2026-06-17,10.2171"
"2026-06-24,10.2607"
"2026-07-02,10.3346"
"2026-07-09,10.2534"
"2026-07-16,10.2969"
"2026-07-23,10.1828"
"2026-07-30,10.4194"
