"2025-07-31,51.1187"
"2025-08-07,50.7506"
"2025-08-14,50.8053"
"2025-08-22,51.7165"
"2025-09-01,51.1004"
"2025-09-08,51.4943"
"2025-09-15,52.1859"
"2025-09-22,52.4863"
"2025-09-29,51.124"
"2025-10-07,52.2177"
"2025-10-14,52.2613"
"2025-10-23,53.5667"
"2025-10-30,53.6469"
"2025-11-07,53.1044"
"2025-11-14,53.8012"
"2025-11-21,53.956"
"2025-11-28,54.3529"
"2025-12-05,54.0271"
"2025-12-12,53.8666"
"2025-12-19,53.7502"
"2025-12-29,53.6443"
"2026-01-05,54.301"
"2026-01-12,53.0263"
"2026-01-20,51.9075"
"2026-01-28,51.9693"
"2026-02-03,52.9032"
"2026-02-10,53.5563"
"2026-02-17,53.3251"
"2026-02-24,52.6083"
"2026-03-04,50.5316"
"2026-03-11,49.5671"
"2026-03-18,49.232"
"2026-03-25,48.3601"
"2026-04-02,47.0346"
"2026-04-10,50.2984"
"2026-04-20,51.1991"
"2026-04-27,51.1071"
"2026-05-05,51.0157"
"2026-05-12,49.9818"
"2026-05-19,50.5239"
"2026-05-26,51.3616"
"2026-06-03,50.2904"
"2026-06-10,50.0806"
"2026-06-17,52.1541"
"2026-06-24,52.5138"
"2026-07-02,52.8977"
"2026-07-09,52.6535"
"2026-07-16,53.0551"
"2026-07-23,52.2776"
"2026-07-30,53.1541"
