"2025-07-31,58.5137"
"2025-08-07,58.073"
"2025-08-14,58.1246"
"2025-08-22,59.0102"
"2025-09-01,58.3197"
"2025-09-08,58.8848"
"2025-09-15,59.6663"
"2025-09-22,60.1308"
"2025-09-29,58.5583"
"2025-10-07,59.7619"
"2025-10-14,59.6146"
"2025-10-23,61.2521"
"2025-10-30,61.4441"
"2025-11-07,60.7221"
"2025-11-14,61.6665"
"2025-11-21,61.6901"
"2025-11-28,62.1194"
"2025-12-05,61.8377"
"2025-12-12,61.6315"
"2025-12-19,61.5747"
"2025-12-29,61.4667"
"2026-01-05,62.2929"
"2026-01-12,60.955"
"2026-01-20,59.6142"
"2026-01-28,59.8689"
"2026-02-03,60.9932"
"2026-02-10,61.8116"
"2026-02-17,61.3492"
"2026-02-24,60.6468"
"2026-03-04,58.3516"
"2026-03-11,57.1567"
"2026-03-18,56.7455"
"2026-03-25,55.7651"
"2026-04-02,54.5108"
"2026-04-10,58.0924"
"2026-04-20,59.0529"
"2026-04-27,58.8749"
"2026-05-05,58.8171"
"2026-05-12,57.5971"
"2026-05-19,58.0895"
"2026-05-26,59.0828"
"2026-06-03,57.9734"
"2026-06-10,57.622"
"2026-06-17,60.0424"
"2026-06-24,60.2833"
"2026-07-02,60.6983"
"2026-07-09,60.2287"
"2026-07-16,60.5389"
"2026-07-23,59.747"
"2026-07-30,61.1592"
