"2025-12-29,10"
"2026-01-05,10.1016"
"2026-01-12,9.8692"
"2026-01-20,9.585"
"2026-01-28,9.6421"
"2026-02-03,9.7928"
"2026-02-10,9.9647"
"2026-02-17,9.8425"
"2026-02-24,9.6985"
"2026-03-04,9.3049"
"2026-03-11,9.1477"
"2026-03-18,9.0841"
"2026-03-25,8.9256"
"2026-04-02,8.7596"
"2026-04-10,9.2638"
"2026-04-20,9.456"
"2026-04-27,9.4589"
"2026-05-05,9.4868"
"2026-05-12,9.2061"
"2026-05-19,9.3235"
"2026-05-26,9.3859"
"2026-06-03,9.2202"
"2026-06-10,9.0946"
"2026-06-17,9.4377"
"2026-06-24,9.4458"
"2026-07-02,9.5301"
"2026-07-09,9.4438"
"2026-07-16,9.5088"
"2026-07-23,9.4299"
"2026-07-30,9.6578"
