"2025-07-31,13.9729"
"2025-08-07,13.8757"
"2025-08-14,13.9357"
"2025-08-22,14.1623"
"2025-09-01,14.08"
"2025-09-08,14.1707"
"2025-09-15,14.3272"
"2025-09-22,14.4487"
"2025-09-29,14.0272"
"2025-10-07,14.303"
"2025-10-14,14.335"
"2025-10-23,14.6997"
"2025-10-30,14.7034"
"2025-11-07,14.5339"
"2025-11-14,14.7546"
"2025-11-21,14.8184"
"2025-11-28,14.9095"
"2025-12-05,14.9597"
"2025-12-12,14.8798"
"2025-12-19,14.828"
"2025-12-29,14.7934"
"2026-01-05,15.0308"
"2026-01-12,14.8129"
"2026-01-20,14.5721"
"2026-01-28,14.6099"
"2026-02-03,14.8278"
"2026-02-10,14.9344"
"2026-02-17,14.8159"
"2026-02-24,14.5883"
"2026-03-04,14.0431"
"2026-03-11,13.6474"
"2026-03-18,13.5909"
"2026-03-25,13.3311"
"2026-04-02,13.0298"
"2026-04-10,13.9021"
"2026-04-20,14.1644"
"2026-04-27,13.9243"
"2026-05-05,13.8358"
"2026-05-12,13.5108"
"2026-05-19,13.6799"
"2026-05-26,13.8361"
"2026-06-03,13.6609"
"2026-06-10,13.5809"
"2026-06-17,14.0688"
"2026-06-24,14.0429"
"2026-07-02,14.181"
"2026-07-09,14.117"
"2026-07-16,14.2211"
"2026-07-23,14.1726"
"2026-07-30,14.5392"
