FDT,FPR
21-07-2026,16.3631
20-07-2026,16.3535
17-07-2026,16.3414
16-07-2026,16.3776
15-07-2026,16.3879
14-07-2026,16.3593
13-07-2026,16.4641
10-07-2026,16.4304
09-07-2026,16.2944
08-07-2026,16.1601
07-07-2026,16.3336
06-07-2026,16.3364
03-07-2026,16.2729
02-07-2026,16.2901
01-07-2026,16.2098
30-06-2026,16.1694
29-06-2026,16.1649
25-06-2026,16.1936
24-06-2026,16.2202
23-06-2026,16.1694
22-06-2026,16.2418
19-06-2026,16.1497
18-06-2026,16.1657
17-06-2026,16.131
16-06-2026,16.0954
15-06-2026,16.0833
12-06-2026,15.9228
11-06-2026,15.7148
10-06-2026,15.7633
09-06-2026,15.8404
08-06-2026,15.7651
05-06-2026,15.889
04-06-2026,15.9188
03-06-2026,15.8797
02-06-2026,15.9037
01-06-2026,15.8983
29-05-2026,15.9791
27-05-2026,16.0651
26-05-2026,16.086
25-05-2026,16.0643
22-05-2026,15.9413
21-05-2026,15.9144
20-05-2026,15.9396
19-05-2026,15.9146
18-05-2026,15.8441
15-05-2026,15.9184
14-05-2026,15.9272
13-05-2026,15.8096
12-05-2026,15.8086
11-05-2026,16.0508
08-05-2026,16.1915
07-05-2026,16.2154
06-05-2026,16.1311
05-05-2026,15.9168
04-05-2026,15.9247
30-04-2026,15.862
29-04-2026,15.9432
28-04-2026,15.9285
27-04-2026,15.9474
24-04-2026,15.8193
23-04-2026,15.9368
22-04-2026,16.0633
21-04-2026,16.1432
20-04-2026,16.0926
17-04-2026,16.1119
16-04-2026,16.0484
15-04-2026,16.01
13-04-2026,15.7738
10-04-2026,15.8422
09-04-2026,15.6847
08-04-2026,15.7236
07-04-2026,15.3192
06-04-2026,15.2752
02-04-2026,15.1444
01-04-2026,15.1617
31-03-2026,14.9795
30-03-2026,14.979
27-03-2026,15.1956
25-03-2026,15.4034
24-03-2026,15.1985
23-03-2026,14.9936
20-03-2026,15.3371
19-03-2026,15.3003
18-03-2026,15.6215
17-03-2026,15.4937
16-03-2026,15.4103
13-03-2026,15.3545
12-03-2026,15.5859
11-03-2026,15.6448
10-03-2026,15.7766
09-03-2026,15.6234
06-03-2026,15.8135
05-03-2026,15.897
04-03-2026,15.7567
02-03-2026,15.9395
27-02-2026,16.0907
26-02-2026,16.23
25-02-2026,16.2216
24-02-2026,16.159
23-02-2026,16.2482
20-02-2026,16.1971
19-02-2026,16.1878
18-02-2026,16.3394
17-02-2026,16.296
16-02-2026,16.2923
13-02-2026,16.27
12-02-2026,16.475
11-02-2026,16.5159
10-02-2026,16.5151
09-02-2026,16.434
06-02-2026,16.2739
05-02-2026,16.3084
04-02-2026,16.3682
03-02-2026,16.34
02-02-2026,16.0535
01-02-2026,15.9922
30-01-2026,16.189
29-01-2026,16.1944
28-01-2026,16.1816
27-01-2026,16.0353
23-01-2026,16.0528
22-01-2026,16.1985
21-01-2026,16.0894
20-01-2026,16.1303
19-01-2026,16.3512
16-01-2026,16.4156
14-01-2026,16.4063
13-01-2026,16.3876
12-01-2026,16.3701
09-01-2026,16.365
08-01-2026,16.4791
07-01-2026,16.6324
06-01-2026,16.6191
05-01-2026,16.6107
02-01-2026,16.644
01-01-2026,16.5633
31-12-2025,16.517
30-12-2025,16.4335
29-12-2025,16.4583
26-12-2025,16.4988
24-12-2025,16.5565
23-12-2025,16.5363
22-12-2025,16.5322
19-12-2025,16.441
18-12-2025,16.3583
17-12-2025,16.3193
16-12-2025,16.3561
15-12-2025,16.4245
12-12-2025,16.4436
11-12-2025,16.3511
10-12-2025,16.2821
09-12-2025,16.3839
08-12-2025,16.3622
05-12-2025,16.4926
04-12-2025,16.444
03-12-2025,16.4357
02-12-2025,16.4709
01-12-2025,16.5187
28-11-2025,16.5093
27-11-2025,16.5389
26-11-2025,16.5366
25-11-2025,16.4111
24-11-2025,16.3965
21-11-2025,16.42
20-11-2025,16.5005
19-11-2025,16.4808
18-11-2025,16.4401
17-11-2025,16.4747
14-11-2025,16.4058
13-11-2025,16.3877
12-11-2025,16.4367
11-11-2025,16.3703
10-11-2025,16.3064
07-11-2025,16.2516
06-11-2025,16.2277
04-11-2025,16.3133
03-11-2025,16.3264
31-10-2025,16.2619
30-10-2025,16.3217
29-10-2025,16.3782
28-10-2025,16.3411
