FDT,FPR
31-07-2026,21.7937
30-07-2026,21.7094
29-07-2026,21.754
28-07-2026,21.5323
27-07-2026,21.4112
24-07-2026,21.1143
23-07-2026,21.1905
22-07-2026,21.4424
21-07-2026,21.6544
20-07-2026,21.5751
17-07-2026,21.481
16-07-2026,21.5869
15-07-2026,21.6529
14-07-2026,21.5142
13-07-2026,21.6223
10-07-2026,21.5777
09-07-2026,21.3097
08-07-2026,20.9737
07-07-2026,21.3673
06-07-2026,21.3486
03-07-2026,21.1431
02-07-2026,21.1581
01-07-2026,20.9956
30-06-2026,20.8445
29-06-2026,20.7338
25-06-2026,20.8514
24-06-2026,20.891
23-06-2026,20.8091
22-06-2026,21.0483
19-06-2026,20.9855
18-06-2026,20.9846
17-06-2026,20.9167
16-06-2026,20.8009
15-06-2026,20.736
12-06-2026,20.3534
11-06-2026,19.8299
10-06-2026,19.9791
09-06-2026,20.216
08-06-2026,19.9174
05-06-2026,20.2013
04-06-2026,20.2144
03-06-2026,20.0768
02-06-2026,20.2013
01-06-2026,20.1496
29-05-2026,20.3769
27-05-2026,20.7004
26-05-2026,20.6758
25-05-2026,20.6289
22-05-2026,20.4073
21-05-2026,20.3994
20-05-2026,20.3765
19-05-2026,20.3087
18-05-2026,20.0342
15-05-2026,20.0527
14-05-2026,20.197
13-05-2026,19.9689
12-05-2026,19.8755
11-05-2026,20.3692
08-05-2026,20.616
07-05-2026,20.6106
06-05-2026,20.4759
05-05-2026,20.0795
04-05-2026,20.1449
30-04-2026,19.9722
29-04-2026,20.1398
28-04-2026,20.1377
27-04-2026,20.1332
24-04-2026,19.8312
23-04-2026,20.029
22-04-2026,20.1722
21-04-2026,20.1254
20-04-2026,20.012
17-04-2026,19.992
16-04-2026,19.7965
15-04-2026,19.6132
13-04-2026,19.1923
10-04-2026,19.3179
09-04-2026,19.1072
08-04-2026,19.1213
07-04-2026,18.3759
06-04-2026,18.3532
02-04-2026,18.1257
01-04-2026,18.1851
31-03-2026,17.8439
30-03-2026,17.8442
27-03-2026,18.2813
25-03-2026,18.633
24-03-2026,18.311
23-03-2026,17.8754
20-03-2026,18.5236
19-03-2026,18.4232
18-03-2026,19.0019
17-03-2026,18.6939
16-03-2026,18.4985
13-03-2026,18.4451
12-03-2026,18.8917
11-03-2026,18.9532
10-03-2026,19.1118
09-03-2026,18.8676
06-03-2026,19.2032
05-03-2026,19.3236
04-03-2026,19.14
02-03-2026,19.4698
27-02-2026,19.7241
26-02-2026,19.829
25-02-2026,19.7335
24-02-2026,19.5943
23-02-2026,19.7655
20-02-2026,19.8413
19-02-2026,19.7669
18-02-2026,20.0546
17-02-2026,19.974
16-02-2026,19.9438
13-02-2026,19.9593
12-02-2026,20.2599
11-02-2026,20.3355
10-02-2026,20.2971
09-02-2026,20.2059
06-02-2026,19.9035
05-02-2026,19.9428
04-02-2026,19.9915
03-02-2026,19.8739
02-02-2026,19.3552
01-02-2026,19.2545
30-01-2026,19.6423
29-01-2026,19.6859
28-01-2026,19.6378
27-01-2026,19.2707
23-01-2026,19.1282
22-01-2026,19.4494
21-01-2026,19.2639
20-01-2026,19.3296
19-01-2026,19.7923
16-01-2026,19.9128
14-01-2026,19.8899
13-01-2026,19.7972
12-01-2026,19.7781
09-01-2026,19.8099
08-01-2026,19.964
07-01-2026,20.2382
06-01-2026,20.1575
05-01-2026,20.1601
02-01-2026,20.1696
01-01-2026,20.0314
31-12-2025,19.9489
30-12-2025,19.7377
29-12-2025,19.8359
26-12-2025,19.9206
24-12-2025,20.0026
23-12-2025,20.1011
22-12-2025,20.1129
19-12-2025,19.943
18-12-2025,19.7427
17-12-2025,19.6394
16-12-2025,19.7322
15-12-2025,19.9022
12-12-2025,19.9067
11-12-2025,19.7175
10-12-2025,19.5173
09-12-2025,19.7849
08-12-2025,19.708
05-12-2025,20.0445
04-12-2025,19.979
03-12-2025,19.9417
02-12-2025,20.1141
01-12-2025,20.1696
28-11-2025,20.1499
27-11-2025,20.2022
26-11-2025,20.1985
25-11-2025,19.9181
24-11-2025,19.8334
21-11-2025,19.9069
20-11-2025,20.1441
19-11-2025,20.1393
18-11-2025,20.0367
17-11-2025,20.1661
14-11-2025,20.035
13-11-2025,20.0351
12-11-2025,20.0756
11-11-2025,19.892
10-11-2025,19.8487
07-11-2025,19.7545
06-11-2025,19.6304
04-11-2025,19.8353
03-11-2025,19.9379
31-10-2025,19.8017
30-10-2025,19.8838
29-10-2025,19.883
28-10-2025,19.7986
27-10-2025,19.8661
24-10-2025,19.6965
23-10-2025,19.7669
20-10-2025,19.7801
17-10-2025,19.6889
16-10-2025,19.7428
15-10-2025,19.72
14-10-2025,19.5839
13-10-2025,19.6444
10-10-2025,19.615
09-10-2025,19.5011
08-10-2025,19.2924
07-10-2025,19.4006
06-10-2025,19.2578
03-10-2025,19.0806
01-10-2025,18.9519
30-09-2025,18.755
29-09-2025,18.7629
26-09-2025,18.742
25-09-2025,19.0998
24-09-2025,19.2208
23-09-2025,19.3443
22-09-2025,19.4035
19-09-2025,19.5838
18-09-2025,19.6401
17-09-2025,19.5843
16-09-2025,19.5337
15-09-2025,19.4835
12-09-2025,19.417
11-09-2025,19.4565
10-09-2025,19.5326
09-09-2025,19.4141
08-09-2025,19.3872
05-09-2025,19.3312
04-09-2025,19.3231
03-09-2025,19.4425
02-09-2025,19.3119
