FDT,FPR
21-07-2026,13.966
20-07-2026,13.936
17-07-2026,13.9236
16-07-2026,13.9217
15-07-2026,13.9785
14-07-2026,13.9245
13-07-2026,14.0385
10-07-2026,14.0141
09-07-2026,13.8661
08-07-2026,13.6945
07-07-2026,13.9456
06-07-2026,13.9487
03-07-2026,13.8759
02-07-2026,13.8579
01-07-2026,13.7683
30-06-2026,13.6353
29-06-2026,13.6112
25-06-2026,13.7135
24-06-2026,13.6647
23-06-2026,13.6068
22-06-2026,13.7415
19-06-2026,13.7044
18-06-2026,13.712
17-06-2026,13.6375
16-06-2026,13.6052
15-06-2026,13.5511
12-06-2026,13.2865
11-06-2026,12.9508
10-06-2026,13.0152
09-06-2026,13.1102
08-06-2026,12.969
05-06-2026,13.152
04-06-2026,13.1715
03-06-2026,13.1027
02-06-2026,13.1514
01-06-2026,13.0956
29-05-2026,13.2335
27-05-2026,13.4102
26-05-2026,13.4211
25-05-2026,13.4057
22-05-2026,13.2416
21-05-2026,13.2456
20-05-2026,13.2503
19-05-2026,13.212
18-05-2026,13.0843
15-05-2026,13.1049
14-05-2026,13.1821
13-05-2026,13.0128
12-05-2026,13.0277
11-05-2026,13.3843
08-05-2026,13.5902
07-05-2026,13.63
06-05-2026,13.5362
05-05-2026,13.3022
04-05-2026,13.3302
30-04-2026,13.1803
29-04-2026,13.3132
28-04-2026,13.2786
27-04-2026,13.2928
24-04-2026,13.1447
23-04-2026,13.279
22-04-2026,13.4361
21-04-2026,13.4732
20-04-2026,13.3817
17-04-2026,13.3927
16-04-2026,13.2697
15-04-2026,13.1621
13-04-2026,12.874
10-04-2026,12.9663
09-04-2026,12.7736
08-04-2026,12.8434
07-04-2026,12.2998
06-04-2026,12.2623
02-04-2026,12.1249
01-04-2026,12.1398
31-03-2026,11.9223
30-03-2026,11.9225
27-03-2026,12.1921
25-03-2026,12.4553
24-03-2026,12.2404
23-03-2026,11.9921
20-03-2026,12.3823
19-03-2026,12.3258
18-03-2026,12.7319
17-03-2026,12.5536
16-03-2026,12.3985
13-03-2026,12.334
12-03-2026,12.5753
11-03-2026,12.6336
10-03-2026,12.7483
09-03-2026,12.5805
06-03-2026,12.7527
05-03-2026,12.8272
04-03-2026,12.6777
02-03-2026,12.8707
27-02-2026,13.0739
26-02-2026,13.1999
25-02-2026,13.1588
24-02-2026,13.0759
23-02-2026,13.2218
20-02-2026,13.2164
19-02-2026,13.1737
18-02-2026,13.3969
17-02-2026,13.3596
16-02-2026,13.37
13-02-2026,13.3713
12-02-2026,13.5803
11-02-2026,13.6475
10-02-2026,13.625
09-02-2026,13.5276
06-02-2026,13.3484
05-02-2026,13.3652
04-02-2026,13.4109
03-02-2026,13.3585
02-02-2026,13.0125
01-02-2026,12.9062
30-01-2026,13.1649
29-01-2026,13.211
28-01-2026,13.1555
27-01-2026,12.9292
23-01-2026,12.8675
22-01-2026,13.0539
21-01-2026,12.9664
20-01-2026,12.9995
19-01-2026,13.306
16-01-2026,13.438
14-01-2026,13.4241
13-01-2026,13.397
12-01-2026,13.3587
09-01-2026,13.3661
08-01-2026,13.4878
07-01-2026,13.6765
06-01-2026,13.6304
05-01-2026,13.6482
02-01-2026,13.6548
01-01-2026,13.5349
31-12-2025,13.4977
30-12-2025,13.3848
29-12-2025,13.4173
26-12-2025,13.4898
24-12-2025,13.5533
23-12-2025,13.6047
22-12-2025,13.5983
19-12-2025,13.4696
18-12-2025,13.3367
17-12-2025,13.2821
16-12-2025,13.3459
15-12-2025,13.4266
12-12-2025,13.4501
11-12-2025,13.3374
10-12-2025,13.261
09-12-2025,13.4014
08-12-2025,13.3532
05-12-2025,13.5517
04-12-2025,13.515
03-12-2025,13.4949
02-12-2025,13.5634
01-12-2025,13.6336
28-11-2025,13.6272
27-11-2025,13.6833
26-11-2025,13.689
25-11-2025,13.4895
24-11-2025,13.4863
21-11-2025,13.5258
20-11-2025,13.6509
19-11-2025,13.5951
18-11-2025,13.5496
17-11-2025,13.6307
14-11-2025,13.5474
13-11-2025,13.5325
12-11-2025,13.5888
11-11-2025,13.4776
10-11-2025,13.4117
07-11-2025,13.3664
06-11-2025,13.2981
04-11-2025,13.3719
03-11-2025,13.4491
31-10-2025,13.374
30-10-2025,13.4385
29-10-2025,13.488
28-10-2025,13.4404
27-10-2025,13.4923
24-10-2025,13.3831
23-10-2025,13.4372
20-10-2025,13.4454
17-10-2025,13.4031
16-10-2025,13.3829
15-10-2025,13.2856
14-10-2025,13.2027
13-10-2025,13.2409
10-10-2025,13.2341
09-10-2025,13.1521
08-10-2025,13.0759
07-10-2025,13.1189
06-10-2025,13.0521
03-10-2025,12.9496
01-10-2025,12.8992
30-09-2025,12.7752
29-09-2025,12.8009
26-09-2025,12.7888
25-09-2025,13.0205
24-09-2025,13.1051
23-09-2025,13.1966
22-09-2025,13.2496
19-09-2025,13.3656
18-09-2025,13.4113
17-09-2025,13.3691
16-09-2025,13.3529
15-09-2025,13.2925
12-09-2025,13.2716
11-09-2025,13.2639
10-09-2025,13.2727
09-09-2025,13.217
08-09-2025,13.1948
05-09-2025,13.1307
04-09-2025,13.1313
03-09-2025,13.1939
02-09-2025,13.1
01-09-2025,13.0775
29-08-2025,12.9001
28-08-2025,13.022
26-08-2025,13.1764
25-08-2025,13.3697
22-08-2025,13.3111
21-08-2025,13.3394
20-08-2025,13.3532
19-08-2025,13.2536
18-08-2025,13.1713
14-08-2025,13.019
13-08-2025,12.9967
12-08-2025,12.9044
11-08-2025,12.92
08-08-2025,12.8063
07-08-2025,12.9556
06-08-2025,12.9272
05-08-2025,12.9998
04-08-2025,13.0832
01-08-2025,13.0096
31-07-2025,13.1758
30-07-2025,13.2321
29-07-2025,13.2301
28-07-2025,13.1469
25-07-2025,13.1716
24-07-2025,13.3169
23-07-2025,13.3649
22-07-2025,13.344
