FDT,FPR
31-07-2026,66.8065
30-07-2026,66.5335
29-07-2026,66.4967
28-07-2026,65.7752
27-07-2026,65.6301
24-07-2026,64.8095
23-07-2026,65.3462
22-07-2026,65.7642
21-07-2026,66.3199
20-07-2026,66.1275
17-07-2026,66.1012
16-07-2026,66.1972
15-07-2026,66.4831
14-07-2026,65.9761
13-07-2026,66.6167
10-07-2026,66.6613
09-07-2026,66.1054
08-07-2026,65.0063
07-07-2026,65.978
06-07-2026,65.7907
03-07-2026,65.2194
02-07-2026,65.6328
01-07-2026,65.1729
30-06-2026,64.3168
29-06-2026,64.0291
25-06-2026,64.3858
24-06-2026,64.4072
23-06-2026,64.407
22-06-2026,64.7426
19-06-2026,64.2287
18-06-2026,64.0875
17-06-2026,63.9082
16-06-2026,63.498
15-06-2026,63.3074
12-06-2026,62.2655
11-06-2026,60.811
10-06-2026,61.0842
09-06-2026,61.6062
08-06-2026,61.0148
05-06-2026,61.8634
04-06-2026,61.9272
03-06-2026,61.4459
02-06-2026,61.6568
01-06-2026,61.6744
29-05-2026,62.3796
27-05-2026,63.2878
26-05-2026,63.2032
25-05-2026,63.0503
22-05-2026,62.3556
21-05-2026,62.3253
20-05-2026,62.348
19-05-2026,62.118
18-05-2026,61.7979
15-05-2026,62.2562
14-05-2026,62.4062
13-05-2026,61.6125
12-05-2026,61.4411
11-05-2026,62.8424
08-05-2026,63.6282
07-05-2026,63.8137
06-05-2026,63.3178
05-05-2026,62.5655
04-05-2026,62.6845
30-04-2026,62.2114
29-04-2026,62.7066
28-04-2026,62.3802
27-04-2026,62.5387
24-04-2026,61.6332
23-04-2026,62.1172
22-04-2026,62.7761
21-04-2026,62.8011
20-04-2026,62.4648
17-04-2026,62.4476
16-04-2026,61.9118
15-04-2026,61.6852
13-04-2026,60.6232
10-04-2026,61.0016
09-04-2026,60.0202
08-04-2026,60.2252
07-04-2026,57.8828
06-04-2026,57.7937
02-04-2026,57.0356
01-04-2026,57.1995
31-03-2026,56.0275
30-03-2026,56.0288
27-03-2026,57.1591
25-03-2026,58.3827
24-03-2026,57.1954
23-03-2026,55.9565
20-03-2026,57.808
19-03-2026,57.7101
18-03-2026,59.5745
17-03-2026,58.8298
16-03-2026,58.0562
13-03-2026,57.715
12-03-2026,58.9434
11-03-2026,59.4235
10-03-2026,60.2333
09-03-2026,59.2741
06-03-2026,60.2135
05-03-2026,60.6341
04-03-2026,59.8418
02-03-2026,60.9154
27-02-2026,61.9545
26-02-2026,62.7717
25-02-2026,62.6907
24-02-2026,62.4233
23-02-2026,62.8457
20-02-2026,62.5431
19-02-2026,62.4122
18-02-2026,63.4331
17-02-2026,63.0765
16-02-2026,63.0318
13-02-2026,62.9048
12-02-2026,63.93
11-02-2026,64.076
