FDT,FPR
31-07-2026,74.8257
30-07-2026,74.5128
29-07-2026,74.3315
28-07-2026,73.5467
27-07-2026,73.612
24-07-2026,72.8126
23-07-2026,73.0247
22-07-2026,73.4855
21-07-2026,74.2046
20-07-2026,74.267
17-07-2026,74.2487
16-07-2026,73.6921
15-07-2026,73.7684
14-07-2026,73.5454
13-07-2026,73.9996
10-07-2026,73.8656
09-07-2026,73.0456
08-07-2026,72.5621
07-07-2026,74.0801
06-07-2026,74.2398
03-07-2026,73.8915
02-07-2026,73.7039
01-07-2026,73.3081
30-06-2026,72.8951
29-06-2026,73.019
25-06-2026,73.3462
24-06-2026,73.1242
23-06-2026,72.4947
22-06-2026,73.2419
19-06-2026,73.016
18-06-2026,73.1746
17-06-2026,72.8752
16-06-2026,72.542
15-06-2026,72.2599
12-06-2026,71.4235
11-06-2026,69.8561
10-06-2026,69.9339
09-06-2026,70.1396
08-06-2026,69.5839
05-06-2026,70.2857
04-06-2026,70.3592
03-06-2026,70.2861
02-06-2026,70.2383
01-06-2026,70.183
29-05-2026,70.8616
27-05-2026,71.8609
26-05-2026,71.8271
25-05-2026,72.0989
22-05-2026,71.2232
21-05-2026,70.9376
20-05-2026,70.98
19-05-2026,70.785
18-05-2026,70.7945
15-05-2026,70.832
14-05-2026,71.1852
13-05-2026,70.2852
12-05-2026,70.2597
11-05-2026,71.5882
08-05-2026,72.7488
07-05-2026,73.1777
06-05-2026,72.9873
05-05-2026,71.9505
04-05-2026,72.2028
30-04-2026,71.8579
29-04-2026,72.3412
28-04-2026,72.0018
27-04-2026,72.493
24-04-2026,71.9365
23-04-2026,72.6629
22-04-2026,73.3882
21-04-2026,73.7638
20-04-2026,73.1731
17-04-2026,73.1789
16-04-2026,72.787
15-04-2026,72.7953
13-04-2026,71.5537
10-04-2026,71.9252
09-04-2026,70.8837
08-04-2026,71.4854
07-04-2026,68.6542
06-04-2026,68.3575
02-04-2026,67.6066
01-04-2026,67.8425
31-03-2026,66.7676
30-03-2026,66.7697
27-03-2026,68.3352
25-03-2026,69.8742
24-03-2026,68.6923
23-03-2026,67.2085
20-03-2026,69.2202
19-03-2026,68.9729
18-03-2026,71.3004
17-03-2026,70.613
16-03-2026,69.8484
13-03-2026,69.3448
12-03-2026,70.801
11-03-2026,71.3667
10-03-2026,72.4583
09-03-2026,71.6506
06-03-2026,72.8399
05-03-2026,73.721
04-03-2026,72.7502
02-03-2026,73.9578
27-02-2026,74.9339
26-02-2026,75.7121
25-02-2026,75.6202
24-02-2026,75.3376
23-02-2026,75.9525
20-02-2026,75.5716
19-02-2026,75.315
18-02-2026,76.4368
17-02-2026,75.9917
16-02-2026,75.9356
13-02-2026,75.354
12-02-2026,76.3226
11-02-2026,76.5932
10-02-2026,76.5799
09-02-2026,76.3581
06-02-2026,75.7811
05-02-2026,75.7784
04-02-2026,76.3087
03-02-2026,75.9299
02-02-2026,74.0121
01-02-2026,73.3077
30-01-2026,74.9684
29-01-2026,75.4157
28-01-2026,75.1206
27-01-2026,74.2715
23-01-2026,73.6876
22-01-2026,74.6544
21-01-2026,74.3303
20-01-2026,74.8225
19-01-2026,75.9243
16-01-2026,76.3124
14-01-2026,75.9818
13-01-2026,75.7801
12-01-2026,75.8722
09-01-2026,75.7432
08-01-2026,76.448
07-01-2026,77.3649
06-01-2026,77.233
05-01-2026,77.3468
02-01-2026,77.6655
01-01-2026,77.0386
31-12-2025,76.7646
30-12-2025,76.043
29-12-2025,76.0486
26-12-2025,76.3618
24-12-2025,76.5416
23-12-2025,76.6696
22-12-2025,76.6761
19-12-2025,75.8749
18-12-2025,75.2239
17-12-2025,75.1383
16-12-2025,75.4303
15-12-2025,75.8431
12-12-2025,75.9194
11-12-2025,75.3101
10-12-2025,74.9134
09-12-2025,75.4211
08-12-2025,75.5032
05-12-2025,76.2436
04-12-2025,75.8167
03-12-2025,75.7781
02-12-2025,75.9938
01-12-2025,76.3792
28-11-2025,76.4325
27-11-2025,76.5708
26-11-2025,76.469
25-11-2025,75.3202
24-11-2025,75.4855
21-11-2025,75.6526
20-11-2025,76.0663
19-11-2025,75.7308
18-11-2025,75.4267
17-11-2025,75.7513
14-11-2025,75.4096
13-11-2025,75.4121
12-11-2025,75.2703
11-11-2025,74.9804
10-11-2025,74.4235
07-11-2025,74.1881
