FDT,FPR
31-07-2026,9.7513
30-07-2026,9.6321
29-07-2026,9.6855
28-07-2026,9.5976
27-07-2026,9.633
24-07-2026,9.5304
23-07-2026,9.5482
22-07-2026,9.6489
21-07-2026,9.7406
20-07-2026,9.6998
17-07-2026,9.6356
16-07-2026,9.721
15-07-2026,9.7751
14-07-2026,9.7305
13-07-2026,9.7477
10-07-2026,9.7522
09-07-2026,9.6291
08-07-2026,9.4895
07-07-2026,9.5786
06-07-2026,9.6956
03-07-2026,9.6546
02-07-2026,9.7609
01-07-2026,9.7755
30-06-2026,9.7978
29-06-2026,9.7853
25-06-2026,9.8283
24-06-2026,9.8535
23-06-2026,9.878
22-06-2026,9.9913
19-06-2026,9.9605
18-06-2026,9.9494
17-06-2026,9.9065
16-06-2026,9.8492
15-06-2026,9.8304
12-06-2026,9.6622
11-06-2026,9.3695
10-06-2026,9.4659
09-06-2026,9.58
08-06-2026,9.4435
05-06-2026,9.624
04-06-2026,9.6491
03-06-2026,9.598
02-06-2026,9.6158
01-06-2026,9.64
29-05-2026,9.8216
27-05-2026,9.9375
26-05-2026,9.8753
25-05-2026,9.8448
22-05-2026,9.7214
21-05-2026,9.7023
20-05-2026,9.699
19-05-2026,9.6312
18-05-2026,9.5782
15-05-2026,9.6123
14-05-2026,9.6649
13-05-2026,9.5353
12-05-2026,9.4939
11-05-2026,9.7385
08-05-2026,9.8664
07-05-2026,9.9185
06-05-2026,9.7907
05-05-2026,9.5766
04-05-2026,9.5424
30-04-2026,9.4874
29-04-2026,9.5888
28-04-2026,9.5981
27-04-2026,9.591
24-04-2026,9.5128
23-04-2026,9.5925
22-04-2026,9.6528
21-04-2026,9.6689
20-04-2026,9.6253
17-04-2026,9.6293
16-04-2026,9.5277
15-04-2026,9.5361
13-04-2026,9.371
10-04-2026,9.4751
09-04-2026,9.2842
08-04-2026,9.2724
07-04-2026,8.8194
06-04-2026,8.8416
02-04-2026,8.6769
01-04-2026,8.7193
31-03-2026,8.5162
30-03-2026,8.5164
27-03-2026,8.7707
25-03-2026,8.9973
24-03-2026,8.7823
23-03-2026,8.5507
20-03-2026,8.8991
19-03-2026,8.852
18-03-2026,9.1606
17-03-2026,9.0099
16-03-2026,8.9059
13-03-2026,8.9009
12-03-2026,9.1569
11-03-2026,9.1973
10-03-2026,9.3587
09-03-2026,9.1859
06-03-2026,9.3663
05-03-2026,9.4652
04-03-2026,9.3085
02-03-2026,9.5343
27-02-2026,9.6772
26-02-2026,9.8336
25-02-2026,9.7885
24-02-2026,9.6984
23-02-2026,9.7393
20-02-2026,9.7086
19-02-2026,9.6521
18-02-2026,9.8304
17-02-2026,9.7558
16-02-2026,9.7057
13-02-2026,9.6607
12-02-2026,9.8901
11-02-2026,9.8804
10-02-2026,9.8692
09-02-2026,9.8227
06-02-2026,9.6496
05-02-2026,9.6132
04-02-2026,9.6282
03-02-2026,9.5615
02-02-2026,9.2901
01-02-2026,9.1496
30-01-2026,9.4254
29-01-2026,9.4683
28-01-2026,9.4155
27-01-2026,9.2611
23-01-2026,9.1904
22-01-2026,9.3512
21-01-2026,9.2254
20-01-2026,9.3488
19-01-2026,9.5673
16-01-2026,9.5777
14-01-2026,9.5786
13-01-2026,9.5284
12-01-2026,9.52
09-01-2026,9.5415
08-01-2026,9.635
07-01-2026,9.8244
06-01-2026,9.8046
05-01-2026,9.8045
02-01-2026,9.8047
01-01-2026,9.7251
31-12-2025,9.6688
30-12-2025,9.5733
29-12-2025,9.7021
26-12-2025,9.7397
24-12-2025,9.7777
23-12-2025,9.8272
22-12-2025,9.827
19-12-2025,9.7239
18-12-2025,9.6135
17-12-2025,9.5669
16-12-2025,9.632
15-12-2025,9.7245
12-12-2025,9.741
11-12-2025,9.6481
10-12-2025,9.5585
09-12-2025,9.6777
08-12-2025,9.6749
05-12-2025,9.8149
04-12-2025,9.7413
03-12-2025,9.7605
02-12-2025,9.893
01-12-2025,9.9269
28-11-2025,9.9409
27-11-2025,9.9431
26-11-2025,9.9527
25-11-2025,9.8152
24-11-2025,9.7995
21-11-2025,9.8448
20-11-2025,9.9494
19-11-2025,9.9341
18-11-2025,9.8854
17-11-2025,9.9542
14-11-2025,9.877
13-11-2025,9.8388
12-11-2025,9.8853
11-11-2025,9.8051
10-11-2025,9.7638
07-11-2025,9.7434
06-11-2025,9.6667
04-11-2025,9.7328
03-11-2025,9.7464
31-10-2025,9.6827
30-10-2025,9.7404
29-10-2025,9.7591
28-10-2025,9.719
27-10-2025,9.6955
24-10-2025,9.6251
23-10-2025,9.6738
20-10-2025,9.7271
17-10-2025,9.6657
16-10-2025,9.6932
15-10-2025,9.6595
14-10-2025,9.5647
13-10-2025,9.6285
10-10-2025,9.6017
09-10-2025,9.5927
08-10-2025,9.502
07-10-2025,9.545
06-10-2025,9.5303
03-10-2025,9.3723
01-10-2025,9.3024
30-09-2025,9.1953
29-09-2025,9.2112
26-09-2025,9.2076
25-09-2025,9.3986
24-09-2025,9.459
23-09-2025,9.5389
22-09-2025,9.5792
19-09-2025,9.6299
18-09-2025,9.6702
17-09-2025,9.6573
16-09-2025,9.6423
15-09-2025,9.5955
12-09-2025,9.5706
11-09-2025,9.5389
10-09-2025,9.563
09-09-2025,9.4722
08-09-2025,9.4512
05-09-2025,9.4276
04-09-2025,9.4344
03-09-2025,9.5267
02-09-2025,9.47
01-09-2025,9.4849
29-08-2025,9.3168
28-08-2025,9.3727
26-08-2025,9.4991
25-08-2025,9.6458
22-08-2025,9.6622
21-08-2025,9.6767
20-08-2025,9.7201
19-08-2025,9.6658
18-08-2025,9.5946
14-08-2025,9.489
13-08-2025,9.486
12-08-2025,9.425
11-08-2025,9.4676
08-08-2025,9.3825
07-08-2025,9.5234
06-08-2025,9.4877
05-08-2025,9.591
04-08-2025,9.5926
01-08-2025,9.4927
31-07-2025,9.608
