FDT,FPR
31-07-2026,10.3953
30-07-2026,10.2431
29-07-2026,10.2976
28-07-2026,10.2233
27-07-2026,10.314
24-07-2026,10.1792
23-07-2026,10.2493
22-07-2026,10.3562
21-07-2026,10.4294
20-07-2026,10.3487
17-07-2026,10.2848
16-07-2026,10.3859
15-07-2026,10.4229
14-07-2026,10.3585
13-07-2026,10.3697
10-07-2026,10.3993
09-07-2026,10.2717
08-07-2026,10.155
07-07-2026,10.2475
06-07-2026,10.3485
03-07-2026,10.271
02-07-2026,10.338
01-07-2026,10.314
30-06-2026,10.3494
29-06-2026,10.3488
25-06-2026,10.2682
24-06-2026,10.3248
23-06-2026,10.3653
22-06-2026,10.46
19-06-2026,10.3901
18-06-2026,10.3656
17-06-2026,10.3146
16-06-2026,10.2009
15-06-2026,10.2152
12-06-2026,10.0654
11-06-2026,9.7982
10-06-2026,9.8795
09-06-2026,9.9976
08-06-2026,9.8303
05-06-2026,10.0162
04-06-2026,10.0213
03-06-2026,9.946
02-06-2026,9.9235
01-06-2026,9.9203
29-05-2026,10.091
27-05-2026,10.2565
26-05-2026,10.148
25-05-2026,10.1464
22-05-2026,9.9802
21-05-2026,9.9537
20-05-2026,9.9251
19-05-2026,9.8235
18-05-2026,9.799
15-05-2026,9.8987
14-05-2026,9.9523
13-05-2026,9.8434
12-05-2026,9.811
11-05-2026,10.0411
08-05-2026,10.1846
07-05-2026,10.2392
06-05-2026,10.0969
05-05-2026,9.9424
04-05-2026,9.9024
30-04-2026,9.8407
29-04-2026,9.9497
28-04-2026,9.9313
27-04-2026,9.9695
24-04-2026,9.8963
23-04-2026,9.9374
22-04-2026,10.0234
21-04-2026,10.0361
20-04-2026,10.056
17-04-2026,10.0308
16-04-2026,9.929
15-04-2026,9.9018
13-04-2026,9.7198
10-04-2026,9.8384
09-04-2026,9.631
08-04-2026,9.5903
07-04-2026,9.1669
06-04-2026,9.1622
02-04-2026,9.0287
01-04-2026,9.0752
31-03-2026,8.8875
30-03-2026,8.8878
27-03-2026,9.1098
25-03-2026,9.3015
24-03-2026,9.1
23-03-2026,8.8854
20-03-2026,9.2496
19-03-2026,9.2286
18-03-2026,9.5415
17-03-2026,9.3931
16-03-2026,9.2437
13-03-2026,9.2417
12-03-2026,9.4935
11-03-2026,9.6366
10-03-2026,9.8496
09-03-2026,9.6277
06-03-2026,9.8589
05-03-2026,9.9771
04-03-2026,9.8089
02-03-2026,10.045
27-02-2026,10.2097
26-02-2026,10.3919
25-02-2026,10.3146
24-02-2026,10.1947
23-02-2026,10.2625
20-02-2026,10.2527
19-02-2026,10.1801
18-02-2026,10.3661
17-02-2026,10.3039
16-02-2026,10.2273
13-02-2026,10.1901
12-02-2026,10.3433
11-02-2026,10.2838
10-02-2026,10.1891
09-02-2026,10.1984
06-02-2026,10.0495
05-02-2026,9.9883
04-02-2026,10.0444
03-02-2026,9.9617
02-02-2026,9.6782
01-02-2026,9.5488
30-01-2026,9.7932
29-01-2026,9.7912
28-01-2026,9.8181
27-01-2026,9.6613
23-01-2026,9.6264
22-01-2026,9.7819
21-01-2026,9.6869
20-01-2026,9.7871
19-01-2026,10.0251
16-01-2026,9.9822
14-01-2026,10.0097
13-01-2026,9.9802
12-01-2026,9.973
09-01-2026,10.0212
08-01-2026,10.1431
07-01-2026,10.2976
06-01-2026,10.3155
05-01-2026,10.3102
02-01-2026,10.2664
01-01-2026,10.2034
31-12-2025,10.1509
30-12-2025,10.0577
29-12-2025,10.0035
26-12-2025,10.0489
24-12-2025,10.0889
23-12-2025,10.1013
22-12-2025,10.07
19-12-2025,9.9593
18-12-2025,9.8837
17-12-2025,9.8746
16-12-2025,9.9531
15-12-2025,10.0137
12-12-2025,10.017
11-12-2025,9.9261
10-12-2025,9.8603
09-12-2025,9.9507
08-12-2025,9.9395
05-12-2025,10.0987
04-12-2025,10.0649
03-12-2025,10.1005
02-12-2025,10.1723
01-12-2025,10.1937
28-11-2025,10.1916
27-11-2025,10.1903
26-11-2025,10.2182
25-11-2025,10.0757
24-11-2025,10.0865
21-11-2025,10.1147
20-11-2025,10.2233
19-11-2025,10.1712
18-11-2025,10.1484
17-11-2025,10.2306
14-11-2025,10.1371
13-11-2025,10.1394
12-11-2025,10.1533
11-11-2025,10.1122
10-11-2025,10.1473
07-11-2025,10.1431
06-11-2025,10.1386
04-11-2025,10.1716
03-11-2025,10.1818
31-10-2025,10.1573
30-10-2025,10.2039
29-10-2025,10.2353
28-10-2025,10.2417
27-10-2025,10.2411
24-10-2025,10.1578
23-10-2025,10.2138
20-10-2025,10.2929
17-10-2025,10.2751
16-10-2025,10.2351
15-10-2025,10.1997
14-10-2025,10.1149
13-10-2025,10.1564
10-10-2025,10.1114
09-10-2025,10.0643
08-10-2025,10.0142
07-10-2025,10.0369
06-10-2025,9.9897
03-10-2025,9.8463
01-10-2025,9.8075
30-09-2025,9.7357
29-09-2025,9.7639
26-09-2025,9.7713
25-09-2025,9.9652
24-09-2025,10.0248
23-09-2025,10.0795
22-09-2025,10.0992
19-09-2025,10.1407
18-09-2025,10.1863
17-09-2025,10.2129
16-09-2025,10.1814
15-09-2025,10.1115
12-09-2025,10.0866
11-09-2025,10.0479
10-09-2025,10.0411
09-09-2025,9.9439
08-09-2025,9.8819
05-09-2025,9.8904
04-09-2025,9.9177
03-09-2025,9.9938
02-09-2025,9.9266
01-09-2025,9.9275
29-08-2025,9.785
28-08-2025,9.825
26-08-2025,9.9351
25-08-2025,10
