FDT,FPR
31-07-2026,68.3992
30-07-2026,68.0154
29-07-2026,67.978
28-07-2026,67.364
27-07-2026,67.2469
24-07-2026,66.2503
23-07-2026,66.5995
22-07-2026,67.185
21-07-2026,67.9341
20-07-2026,67.7729
17-07-2026,67.6348
16-07-2026,67.5497
15-07-2026,67.8664
14-07-2026,67.5381
13-07-2026,68.0965
10-07-2026,67.9256
09-07-2026,67.1306
08-07-2026,66.242
07-07-2026,67.5354
06-07-2026,67.6278
03-07-2026,67.3777
02-07-2026,67.4189
01-07-2026,67.142
30-06-2026,66.4043
29-06-2026,66.2845
25-06-2026,66.6589
24-06-2026,66.3849
23-06-2026,66.1373
22-06-2026,66.8531
19-06-2026,66.6442
18-06-2026,66.8268
17-06-2026,66.6164
16-06-2026,66.5299
15-06-2026,66.194
12-06-2026,65.0066
11-06-2026,63.5164
10-06-2026,63.7971
09-06-2026,64.3499
08-06-2026,63.6476
05-06-2026,64.5099
04-06-2026,64.5997
03-06-2026,64.2165
02-06-2026,64.4839
01-06-2026,64.2058
29-05-2026,64.8866
27-05-2026,65.867
26-05-2026,65.6885
25-05-2026,65.538
22-05-2026,64.8325
21-05-2026,64.8408
20-05-2026,64.8236
19-05-2026,64.5897
18-05-2026,63.8893
15-05-2026,63.9819
14-05-2026,64.3144
13-05-2026,63.5793
12-05-2026,63.5247
11-05-2026,65.0859
08-05-2026,66.109
07-05-2026,66.3157
06-05-2026,65.8749
05-05-2026,64.6882
04-05-2026,64.7914
30-04-2026,64.1421
29-04-2026,64.745
28-04-2026,64.5668
27-04-2026,64.7119
24-04-2026,63.8994
23-04-2026,64.4918
22-04-2026,65.2161
21-04-2026,65.2236
20-04-2026,64.7437
17-04-2026,64.8257
16-04-2026,64.1466
15-04-2026,63.6752
13-04-2026,62.1989
10-04-2026,62.6889
09-04-2026,61.8679
08-04-2026,62.1382
07-04-2026,59.5338
06-04-2026,59.3551
02-04-2026,58.7626
01-04-2026,58.7474
31-03-2026,57.5139
30-03-2026,57.5151
27-03-2026,58.8744
25-03-2026,60.3656
24-03-2026,59.2536
23-03-2026,57.9136
20-03-2026,59.9034
19-03-2026,59.7659
18-03-2026,61.8332
17-03-2026,60.9352
16-03-2026,60.0689
13-03-2026,59.7747
12-03-2026,60.9722
11-03-2026,61.2736
10-03-2026,61.966
09-03-2026,61.0352
06-03-2026,61.9441
05-03-2026,62.4489
04-03-2026,61.5324
02-03-2026,62.606
27-02-2026,63.6067
26-02-2026,64.2458
25-02-2026,64.0157
24-02-2026,63.5904
23-02-2026,64.2075
20-02-2026,64.1039
19-02-2026,63.9157
18-02-2026,65.0941
17-02-2026,64.7706
16-02-2026,64.8154
13-02-2026,64.7731
12-02-2026,65.9203
11-02-2026,66.3139
10-02-2026,66.235
09-02-2026,65.5909
06-02-2026,64.6532
05-02-2026,64.729
04-02-2026,65.0812
03-02-2026,64.7023
02-02-2026,62.9232
01-02-2026,62.4133
30-01-2026,63.641
29-01-2026,64.0198
28-01-2026,63.5744
27-01-2026,62.4052
23-01-2026,62.1213
22-01-2026,63.0687
21-01-2026,62.8261
20-01-2026,63.0457
19-01-2026,64.4645
16-01-2026,64.9979
14-01-2026,65.0166
13-01-2026,64.8961
