FDT,FPR
31-07-2026,9.0586
30-07-2026,8.9726
29-07-2026,9.0035
28-07-2026,8.9606
27-07-2026,9.0676
24-07-2026,8.9811
23-07-2026,9.0251
22-07-2026,9.1098
21-07-2026,9.1674
20-07-2026,9.1102
17-07-2026,9.0475
16-07-2026,9.1162
15-07-2026,9.1697
14-07-2026,9.111
13-07-2026,9.1178
10-07-2026,9.1506
09-07-2026,9.0644
08-07-2026,8.9904
07-07-2026,9.0843
06-07-2026,9.1992
03-07-2026,9.1581
02-07-2026,9.2158
01-07-2026,9.1972
30-06-2026,9.1781
29-06-2026,9.2139
25-06-2026,9.2698
24-06-2026,9.2781
23-06-2026,9.3482
22-06-2026,9.4645
19-06-2026,9.4438
18-06-2026,9.4531
17-06-2026,9.4178
16-06-2026,9.3644
15-06-2026,9.34
12-06-2026,9.1956
11-06-2026,9.0119
10-06-2026,9.1002
09-06-2026,9.1795
08-06-2026,9.0518
05-06-2026,9.1704
04-06-2026,9.2305
03-06-2026,9.1814
02-06-2026,9.2242
01-06-2026,9.2108
29-05-2026,9.3576
27-05-2026,9.5208
26-05-2026,9.4748
25-05-2026,9.4435
22-05-2026,9.3311
21-05-2026,9.3251
20-05-2026,9.3353
19-05-2026,9.3098
18-05-2026,9.2588
15-05-2026,9.2925
14-05-2026,9.3371
13-05-2026,9.2448
12-05-2026,9.1552
11-05-2026,9.3676
08-05-2026,9.484
07-05-2026,9.5112
06-05-2026,9.4275
05-05-2026,9.2769
04-05-2026,9.2414
30-04-2026,9.1833
29-04-2026,9.267
28-04-2026,9.2226
27-04-2026,9.2177
24-04-2026,9.1568
23-04-2026,9.226
22-04-2026,9.292
21-04-2026,9.3078
20-04-2026,9.2432
17-04-2026,9.272
16-04-2026,9.1419
15-04-2026,9.1118
13-04-2026,8.9319
10-04-2026,9.0237
09-04-2026,8.8589
08-04-2026,8.7932
07-04-2026,8.4623
06-04-2026,8.47
02-04-2026,8.3457
01-04-2026,8.3626
31-03-2026,8.0995
30-03-2026,8.0998
27-03-2026,8.2888
25-03-2026,8.4878
24-03-2026,8.3029
23-03-2026,8.0986
20-03-2026,8.4009
19-03-2026,8.4104
18-03-2026,8.6715
17-03-2026,8.574
16-03-2026,8.4556
13-03-2026,8.4462
12-03-2026,8.6347
11-03-2026,8.687
10-03-2026,8.8444
09-03-2026,8.6627
06-03-2026,8.8116
05-03-2026,8.8491
04-03-2026,8.7098
02-03-2026,8.8834
27-02-2026,8.9826
26-02-2026,9.125
25-02-2026,9.1032
24-02-2026,9.0191
23-02-2026,9.0665
20-02-2026,9.0301
19-02-2026,8.9804
18-02-2026,9.1505
17-02-2026,9.0903
16-02-2026,9.0557
13-02-2026,9.0498
12-02-2026,9.2496
11-02-2026,9.2359
10-02-2026,9.2051
09-02-2026,9.1314
06-02-2026,9.0203
05-02-2026,9.0516
04-02-2026,9.114
03-02-2026,9.0493
02-02-2026,8.82
01-02-2026,8.6606
30-01-2026,8.9925
29-01-2026,9.0503
28-01-2026,9.0111
27-01-2026,8.8548
23-01-2026,8.7812
22-01-2026,8.9152
21-01-2026,8.8262
20-01-2026,8.9166
19-01-2026,9.1067
16-01-2026,9.1127
14-01-2026,9.1226
13-01-2026,9.0875
12-01-2026,9.0609
09-01-2026,9.0511
08-01-2026,9.1323
07-01-2026,9.28
06-01-2026,9.243
05-01-2026,9.2276
02-01-2026,9.1745
01-01-2026,9.127
31-12-2025,9.1286
30-12-2025,9.0379
29-12-2025,9.1587
26-12-2025,9.2062
24-12-2025,9.2664
23-12-2025,9.3099
22-12-2025,9.3393
19-12-2025,9.2224
18-12-2025,9.1391
17-12-2025,9.1016
16-12-2025,9.1463
15-12-2025,9.2091
12-12-2025,9.2218
11-12-2025,9.1417
10-12-2025,9.0464
09-12-2025,9.1628
08-12-2025,9.1796
05-12-2025,9.3541
04-12-2025,9.314
03-12-2025,9.2851
02-12-2025,9.3768
01-12-2025,9.4095
28-11-2025,9.432
27-11-2025,9.4537
26-11-2025,9.4649
25-11-2025,9.3401
24-11-2025,9.356
21-11-2025,9.4337
20-11-2025,9.5408
19-11-2025,9.5077
18-11-2025,9.4515
17-11-2025,9.5115
14-11-2025,9.4563
13-11-2025,9.4594
12-11-2025,9.5081
11-11-2025,9.4272
10-11-2025,9.4273
07-11-2025,9.3795
06-11-2025,9.3418
04-11-2025,9.4162
03-11-2025,9.4731
31-10-2025,9.426
30-10-2025,9.4228
29-10-2025,9.4202
28-10-2025,9.4256
27-10-2025,9.4572
24-10-2025,9.4298
23-10-2025,9.4464
20-10-2025,9.4714
17-10-2025,9.4527
16-10-2025,9.4667
15-10-2025,9.3912
14-10-2025,9.2428
13-10-2025,9.3283
10-10-2025,9.3403
09-10-2025,9.2806
08-10-2025,9.2061
07-10-2025,9.2477
06-10-2025,9.2328
03-10-2025,9.149
01-10-2025,9.0764
30-09-2025,9.0134
29-09-2025,9.03
26-09-2025,9.0241
25-09-2025,9.2041
24-09-2025,9.2503
23-09-2025,9.3261
22-09-2025,9.3889
19-09-2025,9.4888
18-09-2025,9.497
17-09-2025,9.495
16-09-2025,9.447
15-09-2025,9.3848
12-09-2025,9.3838
11-09-2025,9.3042
10-09-2025,9.3295
09-09-2025,9.204
08-09-2025,9.1614
05-09-2025,9.1284
04-09-2025,9.1429
03-09-2025,9.1455
02-09-2025,9.1222
01-09-2025,9.0868
29-08-2025,8.917
28-08-2025,8.9265
26-08-2025,9.0352
25-08-2025,9.137
22-08-2025,9.1164
21-08-2025,9.1295
20-08-2025,9.1745
19-08-2025,9.1105
18-08-2025,9.0809
14-08-2025,8.9938
13-08-2025,8.9886
12-08-2025,8.911
11-08-2025,8.9787
08-08-2025,8.9395
07-08-2025,9.0915
06-08-2025,9.072
05-08-2025,9.1821
04-08-2025,9.1981
01-08-2025,9.0785
31-07-2025,9.1549
