FDT,FPR
21-07-2026,9.0238
20-07-2026,8.962
17-07-2026,8.8999
16-07-2026,8.9576
15-07-2026,9.0105
14-07-2026,8.9493
13-07-2026,8.9662
10-07-2026,8.9963
09-07-2026,8.8725
08-07-2026,8.7747
07-07-2026,8.8468
06-07-2026,8.9376
03-07-2026,8.8805
02-07-2026,8.9314
01-07-2026,8.8935
30-06-2026,8.9124
29-06-2026,8.8806
25-06-2026,8.8765
24-06-2026,8.9311
23-06-2026,8.9802
22-06-2026,9.0746
19-06-2026,9.009
18-06-2026,8.9367
17-06-2026,8.8919
16-06-2026,8.8072
15-06-2026,8.812
12-06-2026,8.6706
11-06-2026,8.4316
10-06-2026,8.4944
09-06-2026,8.6064
08-06-2026,8.4731
05-06-2026,8.6536
04-06-2026,8.6725
03-06-2026,8.6207
02-06-2026,8.5887
01-06-2026,8.5821
29-05-2026,8.7489
27-05-2026,8.8745
26-05-2026,8.8103
25-05-2026,8.7736
22-05-2026,8.6557
21-05-2026,8.6549
20-05-2026,8.6416
19-05-2026,8.5663
18-05-2026,8.5316
15-05-2026,8.5967
14-05-2026,8.6302
13-05-2026,8.4907
12-05-2026,8.4436
11-05-2026,8.6395
08-05-2026,8.7407
07-05-2026,8.8094
06-05-2026,8.6591
05-05-2026,8.5396
04-05-2026,8.5001
30-04-2026,8.4408
29-04-2026,8.5208
28-04-2026,8.4925
27-04-2026,8.517
24-04-2026,8.4338
23-04-2026,8.4742
22-04-2026,8.5239
21-04-2026,8.5176
20-04-2026,8.5023
17-04-2026,8.4884
16-04-2026,8.3972
15-04-2026,8.3667
13-04-2026,8.2231
10-04-2026,8.2751
09-04-2026,8.0975
08-04-2026,8.0592
07-04-2026,7.701
06-04-2026,7.7009
02-04-2026,7.5814
01-04-2026,7.6177
31-03-2026,7.4118
30-03-2026,7.412
27-03-2026,7.6355
25-03-2026,7.8515
24-03-2026,7.643
23-03-2026,7.4602
20-03-2026,7.7575
19-03-2026,7.7614
18-03-2026,8.018
17-03-2026,7.9171
16-03-2026,7.8101
13-03-2026,7.7911
12-03-2026,7.983
11-03-2026,8.0601
10-03-2026,8.2138
09-03-2026,8.0416
06-03-2026,8.1996
05-03-2026,8.2575
04-03-2026,8.1086
02-03-2026,8.3225
27-02-2026,8.4286
26-02-2026,8.5315
25-02-2026,8.4786
24-02-2026,8.4041
23-02-2026,8.4456
20-02-2026,8.4398
19-02-2026,8.3747
18-02-2026,8.5108
17-02-2026,8.4083
16-02-2026,8.3744
13-02-2026,8.3642
12-02-2026,8.534
11-02-2026,8.4875
10-02-2026,8.4285
09-02-2026,8.4179
06-02-2026,8.2724
05-02-2026,8.1727
04-02-2026,8.238
03-02-2026,8.1599
02-02-2026,7.9
01-02-2026,7.8132
30-01-2026,8.0752
29-01-2026,8.0897
28-01-2026,8.0694
27-01-2026,7.9177
23-01-2026,7.8715
22-01-2026,7.995
21-01-2026,7.9307
20-01-2026,8.0135
19-01-2026,8.1989
16-01-2026,8.2033
14-01-2026,8.2345
13-01-2026,8.186
12-01-2026,8.1552
09-01-2026,8.1766
08-01-2026,8.2843
07-01-2026,8.425
06-01-2026,8.4074
05-01-2026,8.3825
02-01-2026,8.3504
01-01-2026,8.3071
31-12-2025,8.2996
30-12-2025,8.2252
29-12-2025,8.3016
26-12-2025,8.3676
24-12-2025,8.4279
23-12-2025,8.4353
22-12-2025,8.4552
19-12-2025,8.349
18-12-2025,8.2247
17-12-2025,8.1992
16-12-2025,8.2527
15-12-2025,8.3182
12-12-2025,8.3533
11-12-2025,8.2542
10-12-2025,8.1643
09-12-2025,8.3106
08-12-2025,8.2486
05-12-2025,8.4259
04-12-2025,8.4304
03-12-2025,8.4908
02-12-2025,8.6126
01-12-2025,8.6377
28-11-2025,8.621
27-11-2025,8.6229
26-11-2025,8.6433
25-11-2025,8.4814
24-11-2025,8.4749
21-11-2025,8.5421
20-11-2025,8.6545
19-11-2025,8.6236
18-11-2025,8.5854
17-11-2025,8.6764
14-11-2025,8.6046
13-11-2025,8.5607
12-11-2025,8.5856
11-11-2025,8.528
10-11-2025,8.5183
07-11-2025,8.4988
06-11-2025,8.4277
04-11-2025,8.4604
03-11-2025,8.5102
31-10-2025,8.4354
30-10-2025,8.491
29-10-2025,8.5075
28-10-2025,8.4961
27-10-2025,8.501
24-10-2025,8.4452
23-10-2025,8.4774
20-10-2025,8.5601
17-10-2025,8.5371
16-10-2025,8.5197
15-10-2025,8.5067
14-10-2025,8.4277
13-10-2025,8.4853
10-10-2025,8.4505
09-10-2025,8.4071
08-10-2025,8.329
07-10-2025,8.3801
06-10-2025,8.3793
03-10-2025,8.2722
01-10-2025,8.2275
30-09-2025,8.1358
29-09-2025,8.2076
26-09-2025,8.2162
25-09-2025,8.4053
24-09-2025,8.4622
23-09-2025,8.5391
22-09-2025,8.5809
19-09-2025,8.6411
18-09-2025,8.6724
17-09-2025,8.6681
16-09-2025,8.6211
15-09-2025,8.5773
12-09-2025,8.5537
11-09-2025,8.4991
10-09-2025,8.5283
09-09-2025,8.4522
08-09-2025,8.4266
05-09-2025,8.4253
04-09-2025,8.415
03-09-2025,8.5012
02-09-2025,8.3975
01-09-2025,8.3746
29-08-2025,8.1989
28-08-2025,8.2648
26-08-2025,8.3799
25-08-2025,8.5576
22-08-2025,8.5614
21-08-2025,8.5599
20-08-2025,8.5787
19-08-2025,8.5449
18-08-2025,8.4833
14-08-2025,8.394
13-08-2025,8.388
12-08-2025,8.3174
11-08-2025,8.342
08-08-2025,8.2846
07-08-2025,8.5354
06-08-2025,8.498
05-08-2025,8.6242
04-08-2025,8.6558
01-08-2025,8.5853
