FDT,FPR
21-07-2026,12.7156
20-07-2026,12.6599
17-07-2026,12.6191
16-07-2026,12.6873
15-07-2026,12.709
14-07-2026,12.6362
13-07-2026,12.7337
10-07-2026,12.7463
09-07-2026,12.6127
08-07-2026,12.4091
07-07-2026,12.5817
06-07-2026,12.5997
03-07-2026,12.5271
02-07-2026,12.5954
01-07-2026,12.553
30-06-2026,12.4485
29-06-2026,12.4139
25-06-2026,12.4661
24-06-2026,12.4858
23-06-2026,12.4585
22-06-2026,12.5155
19-06-2026,12.4038
18-06-2026,12.4073
17-06-2026,12.3638
16-06-2026,12.2926
15-06-2026,12.2652
12-06-2026,12.065
11-06-2026,11.7907
10-06-2026,11.8374
09-06-2026,11.9534
08-06-2026,11.8281
05-06-2026,11.992
04-06-2026,12.0335
03-06-2026,11.9928
02-06-2026,12.0093
01-06-2026,12.0192
29-05-2026,12.1302
27-05-2026,12.2733
26-05-2026,12.2864
25-05-2026,12.2763
22-05-2026,12.1606
21-05-2026,12.1325
20-05-2026,12.1284
19-05-2026,12.0808
18-05-2026,12.0057
15-05-2026,12.0649
14-05-2026,12.0786
13-05-2026,11.9079
12-05-2026,11.8907
11-05-2026,12.1756
08-05-2026,12.2998
07-05-2026,12.3339
06-05-2026,12.2274
05-05-2026,12.0328
04-05-2026,12.0426
30-04-2026,11.9207
29-04-2026,12.0058
28-04-2026,11.9678
27-04-2026,11.9748
24-04-2026,11.8115
23-04-2026,11.9225
22-04-2026,12.0422
21-04-2026,12.0677
20-04-2026,12.0193
17-04-2026,12.0125
16-04-2026,11.9279
15-04-2026,11.8696
13-04-2026,11.6358
10-04-2026,11.7097
09-04-2026,11.5638
08-04-2026,11.5911
07-04-2026,11.2009
06-04-2026,11.1848
02-04-2026,11.0635
01-04-2026,11.0978
31-03-2026,10.9192
30-03-2026,10.9194
27-03-2026,11.1598
25-03-2026,11.4017
24-03-2026,11.1727
23-03-2026,10.9357
20-03-2026,11.2981
19-03-2026,11.2625
18-03-2026,11.626
17-03-2026,11.4568
16-03-2026,11.3123
13-03-2026,11.2573
12-03-2026,11.5106
