FDT,FPR
21-07-2026,9.6449
20-07-2026,9.6505
17-07-2026,9.6331
16-07-2026,9.5719
15-07-2026,9.573
14-07-2026,9.5679
13-07-2026,9.6116
10-07-2026,9.6142
09-07-2026,9.5027
08-07-2026,9.4541
07-07-2026,9.636
06-07-2026,9.6715
03-07-2026,9.628
02-07-2026,9.5909
01-07-2026,9.5218
30-06-2026,9.4435
29-06-2026,9.443
25-06-2026,9.5056
24-06-2026,9.509
23-06-2026,9.4459
22-06-2026,9.553
19-06-2026,9.5105
18-06-2026,9.5545
17-06-2026,9.4926
16-06-2026,9.4377
15-06-2026,9.3826
12-06-2026,9.2873
11-06-2026,9.1171
10-06-2026,9.1584
09-06-2026,9.2141
08-06-2026,9.1649
05-06-2026,9.2806
04-06-2026,9.2842
03-06-2026,9.2668
02-06-2026,9.3035
01-06-2026,9.2587
29-05-2026,9.3224
27-05-2026,9.4484
26-05-2026,9.4292
25-05-2026,9.4651
22-05-2026,9.3652
21-05-2026,9.3667
20-05-2026,9.3468
19-05-2026,9.3549
18-05-2026,9.3328
15-05-2026,9.3627
14-05-2026,9.3929
13-05-2026,9.2839
12-05-2026,9.2425
11-05-2026,9.4411
08-05-2026,9.6142
07-05-2026,9.6678
06-05-2026,9.6359
05-05-2026,9.5071
04-05-2026,9.5288
30-04-2026,9.4848
29-04-2026,9.5489
28-04-2026,9.4913
27-04-2026,9.5101
24-04-2026,9.3989
23-04-2026,9.5235
22-04-2026,9.5767
21-04-2026,9.5928
20-04-2026,9.5196
17-04-2026,9.5151
16-04-2026,9.4427
15-04-2026,9.4199
13-04-2026,9.2554
10-04-2026,9.3157
09-04-2026,9.2107
08-04-2026,9.2654
07-04-2026,8.9567
06-04-2026,8.9022
02-04-2026,8.8054
01-04-2026,8.8017
31-03-2026,8.6176
30-03-2026,8.6179
27-03-2026,8.7869
25-03-2026,8.9663
24-03-2026,8.8099
23-03-2026,8.6652
20-03-2026,8.9024
19-03-2026,8.8513
18-03-2026,9.1253
17-03-2026,9.0126
16-03-2026,8.9448
13-03-2026,8.9012
12-03-2026,9.1288
11-03-2026,9.1834
10-03-2026,9.3
09-03-2026,9.2187
06-03-2026,9.3892
05-03-2026,9.4599
04-03-2026,9.3492
02-03-2026,9.5094
27-02-2026,9.6581
26-02-2026,9.7645
25-02-2026,9.7514
24-02-2026,9.7237
23-02-2026,9.8285
20-02-2026,9.7966
19-02-2026,9.7599
18-02-2026,9.907
17-02-2026,9.8784
16-02-2026,9.8482
13-02-2026,9.7917
12-02-2026,9.9395
11-02-2026,10.0183
10-02-2026,10.0124
09-02-2026,9.968
06-02-2026,9.8462
05-02-2026,9.8318
04-02-2026,9.8724
03-02-2026,9.8399
02-02-2026,9.5818
01-02-2026,9.4745
30-01-2026,9.674
29-01-2026,9.6967
28-01-2026,9.6877
27-01-2026,9.5806
23-01-2026,9.5367
22-01-2026,9.6671
21-01-2026,9.6006
20-01-2026,9.63
19-01-2026,9.8187
16-01-2026,9.8855
14-01-2026,9.8899
13-01-2026,9.8988
12-01-2026,9.9286
09-01-2026,9.9097
08-01-2026,9.9932
07-01-2026,10.121
06-01-2026,10.128
05-01-2026,10.1465
02-01-2026,10.1504
01-01-2026,10.0846
31-12-2025,10.0775
30-12-2025,10.0028
29-12-2025,10.0281
26-12-2025,10.0753
24-12-2025,10.0918
23-12-2025,10.1024
22-12-2025,10.1092
19-12-2025,10.015
18-12-2025,9.9521
17-12-2025,9.9644
16-12-2025,9.9775
15-12-2025,10.0314
12-12-2025,10.0218
11-12-2025,9.9572
10-12-2025,9.8988
09-12-2025,9.9316
08-12-2025,9.9461
05-12-2025,10.0764
04-12-2025,10.0478
03-12-2025,10.034
02-12-2025,10.0676
01-12-2025,10.1017
28-11-2025,10.1227
27-11-2025,10.1188
26-11-2025,10.1417
25-11-2025,10.027
24-11-2025,10.0483
21-11-2025,10.1123
20-11-2025,10.1573
19-11-2025,10.1491
18-11-2025,10.1165
17-11-2025,10.1588
14-11-2025,10.122
13-11-2025,10.1218
12-11-2025,10.1339
11-11-2025,10.062
10-11-2025,9.9935
07-11-2025,9.9702
06-11-2025,9.9935
04-11-2025,10.0599
03-11-2025,10.113
31-10-2025,10.0866
30-10-2025,10.1391
29-10-2025,10.1912
28-10-2025,10.1036
27-10-2025,10.1276
24-10-2025,10.0489
23-10-2025,10.0779
20-10-2025,10.0665
17-10-2025,10.0218
16-10-2025,9.9945
15-10-2025,9.9095
14-10-2025,9.8308
13-10-2025,9.8753
10-10-2025,9.9185
09-10-2025,9.8718
08-10-2025,9.8163
07-10-2025,9.8562
06-10-2025,9.8473
03-10-2025,9.8201
01-10-2025,9.7845
30-09-2025,9.7049
29-09-2025,9.7218
26-09-2025,9.7253
25-09-2025,9.8397
24-09-2025,9.9058
23-09-2025,9.9668
22-09-2025,10
