FDT,FPR
31-07-2026,21.6116
30-07-2026,21.4604
29-07-2026,21.5589
28-07-2026,21.3391
27-07-2026,21.3452
24-07-2026,21.0752
23-07-2026,21.1587
22-07-2026,21.3748
21-07-2026,21.6403
20-07-2026,21.447
17-07-2026,21.3636
16-07-2026,21.4626
15-07-2026,21.3937
14-07-2026,21.3423
13-07-2026,21.5914
10-07-2026,21.5226
09-07-2026,21.3027
08-07-2026,20.9109
07-07-2026,21.2825
06-07-2026,21.3323
03-07-2026,21.1855
02-07-2026,21.2573
01-07-2026,21.0895
30-06-2026,20.9174
29-06-2026,20.7482
25-06-2026,20.8427
24-06-2026,20.9225
23-06-2026,20.8107
22-06-2026,20.9505
19-06-2026,20.8804
18-06-2026,20.7838
17-06-2026,20.7174
16-06-2026,20.6452
15-06-2026,20.5916
12-06-2026,20.1899
11-06-2026,19.6131
10-06-2026,19.6976
09-06-2026,19.9197
08-06-2026,19.6819
05-06-2026,20.0092
04-06-2026,20.0548
03-06-2026,19.9362
02-06-2026,19.9976
01-06-2026,19.907
29-05-2026,20.1316
27-05-2026,20.2971
26-05-2026,20.3382
25-05-2026,20.2716
22-05-2026,20.0073
21-05-2026,19.9651
20-05-2026,19.8623
19-05-2026,19.8376
18-05-2026,19.5886
15-05-2026,19.8721
14-05-2026,19.9036
13-05-2026,19.6953
12-05-2026,19.7334
11-05-2026,20.3554
08-05-2026,20.6306
07-05-2026,20.5886
06-05-2026,20.4171
05-05-2026,20.1085
04-05-2026,20.126
30-04-2026,19.8254
29-04-2026,20.0385
28-04-2026,19.9289
27-04-2026,19.9969
24-04-2026,19.6846
23-04-2026,19.9009
22-04-2026,20.0432
21-04-2026,19.9352
20-04-2026,19.7476
17-04-2026,19.7695
16-04-2026,19.532
15-04-2026,19.3221
13-04-2026,18.8516
10-04-2026,19.0242
09-04-2026,18.7375
08-04-2026,18.8229
07-04-2026,18.0782
06-04-2026,18.0962
02-04-2026,17.8773
01-04-2026,17.9537
31-03-2026,17.5098
30-03-2026,17.5099
27-03-2026,17.9128
25-03-2026,18.1562
24-03-2026,17.7541
23-03-2026,17.3544
20-03-2026,17.9413
19-03-2026,17.8797
18-03-2026,18.3778
17-03-2026,18.0934
16-03-2026,17.9803
13-03-2026,17.9765
12-03-2026,18.3813
11-03-2026,18.452
10-03-2026,18.5017
09-03-2026,18.1547
06-03-2026,18.5112
05-03-2026,18.5879
04-03-2026,18.3663
02-03-2026,18.7434
27-02-2026,19.0668
26-02-2026,19.2847
25-02-2026,19.2477
24-02-2026,19.1094
23-02-2026,19.2229
20-02-2026,19.1515
19-02-2026,19.1872
18-02-2026,19.424
17-02-2026,19.3769
16-02-2026,19.2803
13-02-2026,19.391
12-02-2026,19.7475
11-02-2026,19.8579
10-02-2026,19.9053
09-02-2026,19.7809
06-02-2026,19.3722
05-02-2026,19.3854
04-02-2026,19.4956
03-02-2026,19.3289
02-02-2026,18.681
01-02-2026,18.5715
30-01-2026,18.9817
29-01-2026,18.8905
28-01-2026,18.8372
27-01-2026,18.5366
23-01-2026,18.471
22-01-2026,18.6988
21-01-2026,18.4702
20-01-2026,18.6274
19-01-2026,19.0683
16-01-2026,19.2651
14-01-2026,19.2821
13-01-2026,19.222
12-01-2026,19.1143
09-01-2026,19.1253
08-01-2026,19.4074
07-01-2026,19.6759
06-01-2026,19.6278
05-01-2026,19.6849
02-01-2026,19.6356
01-01-2026,19.5031
31-12-2025,19.4799
30-12-2025,19.2926
29-12-2025,19.3355
26-12-2025,19.4741
24-12-2025,19.5373
23-12-2025,19.5644
22-12-2025,19.5598
19-12-2025,19.3553
18-12-2025,19.0711
17-12-2025,19.0702
16-12-2025,19.1806
15-12-2025,19.3175
12-12-2025,19.2991
11-12-2025,19.088
10-12-2025,19.0299
09-12-2025,19.2043
08-12-2025,19.0685
05-12-2025,19.3694
04-12-2025,19.3678
03-12-2025,19.4046
02-12-2025,19.5062
01-12-2025,19.6167
28-11-2025,19.5694
27-11-2025,19.6145
26-11-2025,19.6491
25-11-2025,19.4462
24-11-2025,19.3947
21-11-2025,19.477
20-11-2025,19.6624
19-11-2025,19.6676
18-11-2025,19.714
17-11-2025,19.8529
14-11-2025,19.6649
13-11-2025,19.6056
12-11-2025,19.6565
11-11-2025,19.5324
10-11-2025,19.5124
07-11-2025,19.4386
06-11-2025,19.3428
04-11-2025,19.5725
03-11-2025,19.6271
31-10-2025,19.4856
30-10-2025,19.5579
29-10-2025,19.5379
28-10-2025,19.5667
27-10-2025,19.5769
24-10-2025,19.4513
23-10-2025,19.5423
20-10-2025,19.4455
17-10-2025,19.2528
16-10-2025,19.2048
15-10-2025,19.1318
14-10-2025,19.0006
13-10-2025,19.1164
