FDT,FPR
31-07-2026,82.253
30-07-2026,81.9663
29-07-2026,81.6416
28-07-2026,80.8149
27-07-2026,80.7857
24-07-2026,79.7413
23-07-2026,80.3751
22-07-2026,80.9808
21-07-2026,81.911
20-07-2026,81.5257
17-07-2026,81.2502
16-07-2026,81.876
15-07-2026,81.6601
14-07-2026,81.0215
13-07-2026,81.6098
10-07-2026,81.4103
09-07-2026,80.689
08-07-2026,79.3828
07-07-2026,80.5357
06-07-2026,80.9406
03-07-2026,80.3153
02-07-2026,80.6938
01-07-2026,80.0538
30-06-2026,79.8553
29-06-2026,79.7488
25-06-2026,80.5415
24-06-2026,80.6359
23-06-2026,80.5999
22-06-2026,81.2207
19-06-2026,81.0165
18-06-2026,81.2953
17-06-2026,80.9324
16-06-2026,80.3349
15-06-2026,80.0198
12-06-2026,78.8533
11-06-2026,77.3259
10-06-2026,77.7644
09-06-2026,78.2719
08-06-2026,77.5214
05-06-2026,78.6113
04-06-2026,78.6858
03-06-2026,77.941
02-06-2026,78.4182
01-06-2026,77.5038
29-05-2026,78.0318
27-05-2026,78.7291
26-05-2026,78.1603
25-05-2026,78.1445
22-05-2026,77.4557
21-05-2026,77.315
20-05-2026,76.9558
19-05-2026,76.7395
18-05-2026,75.8996
15-05-2026,76.9211
14-05-2026,77.1561
13-05-2026,76.8
12-05-2026,76.6696
11-05-2026,78.65
08-05-2026,79.3559
07-05-2026,79.2733
06-05-2026,79.0752
05-05-2026,78.0143
04-05-2026,78.0653
30-04-2026,77.2346
29-04-2026,78.0821
28-04-2026,78.0494
27-04-2026,78.3012
24-04-2026,76.9482
23-04-2026,78.1987
22-04-2026,78.9333
21-04-2026,78.88
20-04-2026,78.4611
17-04-2026,78.6108
16-04-2026,77.7271
15-04-2026,77.0936
13-04-2026,75.3361
10-04-2026,75.911
09-04-2026,75.0389
08-04-2026,75.1752
07-04-2026,72.5243
06-04-2026,72.0986
02-04-2026,71.6896
01-04-2026,71.7824
31-03-2026,70.6599
30-03-2026,70.6622
27-03-2026,72.148
25-03-2026,73.4949
24-03-2026,71.9355
23-03-2026,70.2192
20-03-2026,72.7103
19-03-2026,72.109
18-03-2026,74.5483
17-03-2026,73.519
16-03-2026,72.8839
13-03-2026,73.0212
12-03-2026,75.2023
11-03-2026,75.3027
10-03-2026,75.8808
09-03-2026,74.5769
06-03-2026,76.5284
05-03-2026,76.8096
04-03-2026,75.8965
02-03-2026,77.6639
27-02-2026,79.1135
26-02-2026,79.5934
25-02-2026,79.5065
24-02-2026,78.7647
23-02-2026,79.367
20-02-2026,79.118
19-02-2026,79.1037
18-02-2026,80.3468
17-02-2026,80.2407
16-02-2026,80.0738
13-02-2026,79.9837
12-02-2026,80.8788
11-02-2026,81.6617
10-02-2026,81.4044
09-02-2026,80.8866
06-02-2026,79.6151
05-02-2026,79.6
04-02-2026,79.957
03-02-2026,79.8209
02-02-2026,77.6078
01-02-2026,77.168
30-01-2026,77.8748
29-01-2026,77.5829
28-01-2026,77.6213
27-01-2026,76.4147
23-01-2026,75.9451
22-01-2026,76.7428
21-01-2026,75.9099
20-01-2026,76.3479
19-01-2026,78.0625
16-01-2026,78.4048
14-01-2026,78.4944
13-01-2026,78.4233
12-01-2026,78.2213
09-01-2026,78.395
08-01-2026,79.2638
07-01-2026,80.7442
06-01-2026,80.7538
05-01-2026,80.8615
02-01-2026,80.7476
01-01-2026,80.2182
31-12-2025,79.9652
30-12-2025,79.0912
29-12-2025,79.4219
26-12-2025,79.793
24-12-2025,80.2927
23-12-2025,80.479
22-12-2025,80.3808
19-12-2025,80.1105
18-12-2025,79.3039
17-12-2025,79.4121
16-12-2025,79.7357
15-12-2025,80.1973
12-12-2025,79.8098
11-12-2025,79.1729
10-12-2025,78.8585
09-12-2025,79.5381
08-12-2025,79.1048
05-12-2025,80.0779
04-12-2025,80.2479
03-12-2025,80.2828
02-12-2025,80.5624
01-12-2025,80.6399
28-11-2025,80.4716
27-11-2025,80.7305
26-11-2025,80.8352
25-11-2025,80.0051
24-11-2025,80.291
21-11-2025,80.4292
20-11-2025,81.2168
19-11-2025,81.0767
18-11-2025,80.9427
17-11-2025,81.6253
14-11-2025,81.112
13-11-2025,81.2436
12-11-2025,81.6312
11-11-2025,80.6077
10-11-2025,80.2858
07-11-2025,79.9107
06-11-2025,80.1767
04-11-2025,80.9887
03-11-2025,81.2388
31-10-2025,80.6461
30-10-2025,81.3175
29-10-2025,81.5002
28-10-2025,80.9983
27-10-2025,81.1585
24-10-2025,80.6267
23-10-2025,81.0298
20-10-2025,80.6868
17-10-2025,80.3624
16-10-2025,80.5803
15-10-2025,79.8878
14-10-2025,79.4123
13-10-2025,79.9967
10-10-2025,80.5138
09-10-2025,80.1583
08-10-2025,79.8473
07-10-2025,80.34
06-10-2025,80.3092
03-10-2025,80.1007
01-10-2025,79.6556
30-09-2025,79.232
29-09-2025,79.1808
26-09-2025,79.3783
25-09-2025,80.732
24-09-2025,81.2385
23-09-2025,81.6385
22-09-2025,82.0322
19-09-2025,82.5983
18-09-2025,82.8206
17-09-2025,82.704
16-09-2025,82.6111
15-09-2025,82.1463
12-09-2025,81.9515
11-09-2025,82.0909
10-09-2025,82.1654
09-09-2025,81.6329
08-09-2025,81.3416
05-09-2025,81.1187
04-09-2025,81.4822
03-09-2025,81.7728
02-09-2025,81.1884
01-09-2025,80.9759
29-08-2025,79.7229
28-08-2025,79.898
26-08-2025,80.6067
25-08-2025,81.4602
22-08-2025,80.9526
21-08-2025,81.171
20-08-2025,81.126
19-08-2025,80.7088
18-08-2025,80.081
14-08-2025,78.9813
13-08-2025,78.9702
12-08-2025,78.4743
11-08-2025,78.5694
08-08-2025,78.1007
07-08-2025,78.9507
06-08-2025,78.6954
05-08-2025,79.5077
04-08-2025,79.6523
01-08-2025,79.0286
31-07-2025,79.8259
