FDT,FPR
21-07-2026,15.9901
20-07-2026,15.9824
17-07-2026,15.9426
16-07-2026,15.8947
15-07-2026,15.9219
14-07-2026,15.8426
13-07-2026,15.9342
10-07-2026,15.9322
09-07-2026,15.8166
08-07-2026,15.6913
07-07-2026,15.9462
06-07-2026,15.9842
03-07-2026,15.905
02-07-2026,15.8877
01-07-2026,15.7928
30-06-2026,15.6807
29-06-2026,15.6735
25-06-2026,15.6838
24-06-2026,15.672
23-06-2026,15.6186
22-06-2026,15.7533
19-06-2026,15.6855
18-06-2026,15.7019
17-06-2026,15.6364
16-06-2026,15.5571
15-06-2026,15.4839
12-06-2026,15.2682
11-06-2026,15.003
10-06-2026,15.0561
09-06-2026,15.1068
08-06-2026,15.0213
05-06-2026,15.2029
04-06-2026,15.1987
03-06-2026,15.1467
02-06-2026,15.1855
01-06-2026,15.1391
29-05-2026,15.3316
27-05-2026,15.5713
26-05-2026,15.4714
25-05-2026,15.4726
22-05-2026,15.3107
21-05-2026,15.269
20-05-2026,15.2667
19-05-2026,15.2377
18-05-2026,15.1425
15-05-2026,15.1908
14-05-2026,15.2595
13-05-2026,15.0923
12-05-2026,15.0601
11-05-2026,15.4056
08-05-2026,15.6174
07-05-2026,15.6382
06-05-2026,15.5778
05-05-2026,15.3973
04-05-2026,15.3971
30-04-2026,15.2949
29-04-2026,15.4183
28-04-2026,15.3426
27-04-2026,15.4009
24-04-2026,15.2105
23-04-2026,15.3691
22-04-2026,15.5023
21-04-2026,15.5651
20-04-2026,15.4453
17-04-2026,15.4355
16-04-2026,15.3214
15-04-2026,15.2865
13-04-2026,15.0129
10-04-2026,15.0875
09-04-2026,14.9052
08-04-2026,14.963
07-04-2026,14.4807
06-04-2026,14.4129
02-04-2026,14.2698
01-04-2026,14.2723
31-03-2026,14.0685
30-03-2026,14.0688
27-03-2026,14.3471
25-03-2026,14.5903
24-03-2026,14.3513
23-03-2026,14.072
20-03-2026,14.4512
19-03-2026,14.3729
18-03-2026,14.8348
17-03-2026,14.669
16-03-2026,14.5274
13-03-2026,14.4628
12-03-2026,14.7383
11-03-2026,14.8388
10-03-2026,15.0132
09-03-2026,14.8592
06-03-2026,15.0588
05-03-2026,15.1929
04-03-2026,15.0219
02-03-2026,15.2368
27-02-2026,15.4556
26-02-2026,15.6278
25-02-2026,15.63
24-02-2026,15.5749
23-02-2026,15.7397
20-02-2026,15.6794
19-02-2026,15.6455
18-02-2026,15.8797
17-02-2026,15.833
16-02-2026,15.8267
13-02-2026,15.7449
12-02-2026,15.9811
11-02-2026,16.1354
10-02-2026,16.1431
09-02-2026,16.0036
06-02-2026,15.8727
05-02-2026,15.8868
04-02-2026,15.959
03-02-2026,15.902
02-02-2026,15.5344
01-02-2026,15.4248
30-01-2026,15.6834
29-01-2026,15.738
28-01-2026,15.698
27-01-2026,15.4808
23-01-2026,15.3874
22-01-2026,15.5773
21-01-2026,15.5106
20-01-2026,15.5763
19-01-2026,15.8569
16-01-2026,15.9023
14-01-2026,15.9351
13-01-2026,15.9508
12-01-2026,15.9403
09-01-2026,15.9158
08-01-2026,16.0831
07-01-2026,16.3047
06-01-2026,16.2724
05-01-2026,16.2853
02-01-2026,16.3406
01-01-2026,16.2044
31-12-2025,16.176
30-12-2025,16.0361
29-12-2025,16.0687
26-12-2025,16.1506
24-12-2025,16.205
23-12-2025,16.2331
22-12-2025,16.2363
19-12-2025,16.1086
18-12-2025,15.9844
17-12-2025,15.9701
16-12-2025,16.0558
15-12-2025,16.1437
12-12-2025,16.1631
11-12-2025,16.0622
10-12-2025,15.9721
09-12-2025,16.085
08-12-2025,16.0837
05-12-2025,16.2889
04-12-2025,16.255
03-12-2025,16.2311
02-12-2025,16.304
01-12-2025,16.3839
28-11-2025,16.3744
27-11-2025,16.4211
26-11-2025,16.4227
25-11-2025,16.223
24-11-2025,16.2339
21-11-2025,16.2879
20-11-2025,16.3882
19-11-2025,16.3289
18-11-2025,16.2706
17-11-2025,16.3559
14-11-2025,16.2545
13-11-2025,16.2587
12-11-2025,16.2647
11-11-2025,16.1863
10-11-2025,16.1059
07-11-2025,16.0643
06-11-2025,16.0838
04-11-2025,16.2317
03-11-2025,16.2696
31-10-2025,16.1522
30-10-2025,16.2876
29-10-2025,16.3844
28-10-2025,16.2662
27-10-2025,16.36
24-10-2025,16.2503
23-10-2025,16.3166
20-10-2025,16.3351
17-10-2025,16.3284
16-10-2025,16.2967
15-10-2025,16.2048
14-10-2025,16.0812
13-10-2025,16.112
10-10-2025,16.1083
09-10-2025,16.0324
08-10-2025,15.9265
07-10-2025,15.9533
06-10-2025,15.9045
03-10-2025,15.7932
01-10-2025,15.7044
30-09-2025,15.6143
29-09-2025,15.6393
26-09-2025,15.6112
25-09-2025,15.8326
24-09-2025,15.9689
23-09-2025,16.0897
22-09-2025,16.1999
19-09-2025,16.2527
18-09-2025,16.2945
17-09-2025,16.2384
16-09-2025,16.2026
15-09-2025,16.1114
12-09-2025,16.081
11-09-2025,16.0491
10-09-2025,16.0648
09-09-2025,16.0553
08-09-2025,16.0361
05-09-2025,15.9964
04-09-2025,15.9962
03-09-2025,16.034
02-09-2025,15.9132
01-09-2025,15.9028
29-08-2025,15.6768
28-08-2025,15.7453
26-08-2025,15.9196
25-08-2025,16.1213
22-08-2025,16.0915
21-08-2025,16.1724
20-08-2025,16.2079
19-08-2025,16.0838
18-08-2025,16.0144
14-08-2025,15.8898
13-08-2025,15.8859
12-08-2025,15.7498
11-08-2025,15.7395
08-08-2025,15.5985
07-08-2025,15.7515
06-08-2025,15.6817
05-08-2025,15.7509
