FDT,FPR
31-07-2026,11.9241
30-07-2026,11.8765
29-07-2026,11.9045
28-07-2026,11.8011
27-07-2026,11.7416
24-07-2026,11.5827
23-07-2026,11.6648
22-07-2026,11.7543
21-07-2026,11.8462
20-07-2026,11.7915
17-07-2026,11.7604
16-07-2026,11.7989
15-07-2026,11.8303
14-07-2026,11.7761
13-07-2026,11.8693
10-07-2026,11.8802
09-07-2026,11.7936
08-07-2026,11.6138
07-07-2026,11.8006
06-07-2026,11.777
03-07-2026,11.7068
02-07-2026,11.7754
01-07-2026,11.7102
30-06-2026,11.5868
29-06-2026,11.5389
25-06-2026,11.5917
24-06-2026,11.5978
23-06-2026,11.6077
22-06-2026,11.6764
19-06-2026,11.604
18-06-2026,11.5627
17-06-2026,11.5104
16-06-2026,11.4216
15-06-2026,11.3927
12-06-2026,11.1952
11-06-2026,10.9425
10-06-2026,10.9965
09-06-2026,11.0827
08-06-2026,10.9646
05-06-2026,11.1087
04-06-2026,11.1398
03-06-2026,11.0727
02-06-2026,11.0997
01-06-2026,11.1108
29-05-2026,11.2263
27-05-2026,11.3489
26-05-2026,11.3435
25-05-2026,11.318
22-05-2026,11.2107
21-05-2026,11.2193
20-05-2026,11.2068
19-05-2026,11.1757
18-05-2026,11.1337
15-05-2026,11.219
14-05-2026,11.2236
13-05-2026,11.0877
12-05-2026,11.0544
11-05-2026,11.3023
08-05-2026,11.4395
07-05-2026,11.4876
06-05-2026,11.406
05-05-2026,11.2507
04-05-2026,11.2647
30-04-2026,11.1784
29-04-2026,11.2682
28-04-2026,11.2218
27-04-2026,11.2461
24-04-2026,11.1299
23-04-2026,11.207
22-04-2026,11.2652
21-04-2026,11.2601
20-04-2026,11.2137
17-04-2026,11.1879
16-04-2026,11.0995
15-04-2026,11.0543
13-04-2026,10.8838
10-04-2026,10.9433
09-04-2026,10.8032
08-04-2026,10.8422
07-04-2026,10.5007
06-04-2026,10.4858
02-04-2026,10.3643
01-04-2026,10.3945
31-03-2026,10.2218
30-03-2026,10.2222
27-03-2026,10.4185
25-03-2026,10.6344
24-03-2026,10.4013
23-03-2026,10.181
20-03-2026,10.5284
19-03-2026,10.4926
18-03-2026,10.8346
17-03-2026,10.6814
16-03-2026,10.5533
13-03-2026,10.502
12-03-2026,10.7107
11-03-2026,10.8102
10-03-2026,10.9485
09-03-2026,10.7934
06-03-2026,10.9829
05-03-2026,11.0709
04-03-2026,10.9233
02-03-2026,11.1497
27-02-2026,11.3474
26-02-2026,11.515
25-02-2026,11.4963
24-02-2026,11.4572
23-02-2026,11.5277
20-02-2026,11.4461
19-02-2026,11.424
18-02-2026,11.5996
17-02-2026,11.5337
