FDT,FPR
31-07-2026,98.586
30-07-2026,98.1933
29-07-2026,97.9554
28-07-2026,96.9591
27-07-2026,97.0285
24-07-2026,96.0023
23-07-2026,96.2622
22-07-2026,96.8005
21-07-2026,97.7184
20-07-2026,97.8254
17-07-2026,97.8033
16-07-2026,97.0654
15-07-2026,97.1751
14-07-2026,96.8908
13-07-2026,97.5014
10-07-2026,97.2868
09-07-2026,96.2303
08-07-2026,95.5907
07-07-2026,97.531
06-07-2026,97.8516
03-07-2026,97.458
02-07-2026,97.2008
01-07-2026,96.6862
30-06-2026,96.1043
29-06-2026,96.272
25-06-2026,96.7098
24-06-2026,96.3511
23-06-2026,95.5262
22-06-2026,96.5003
19-06-2026,96.2193
18-06-2026,96.4228
17-06-2026,95.9661
16-06-2026,95.4891
15-06-2026,95.1345
12-06-2026,94.0247
11-06-2026,92.0515
10-06-2026,92.1769
09-06-2026,92.4558
08-06-2026,91.699
05-06-2026,92.6074
04-06-2026,92.7642
03-06-2026,92.6602
02-06-2026,92.6332
01-06-2026,92.5701
29-05-2026,93.5213
27-05-2026,94.7261
26-05-2026,94.6441
25-05-2026,94.9557
22-05-2026,93.8195
21-05-2026,93.44
20-05-2026,93.4468
19-05-2026,93.1822
18-05-2026,93.2045
15-05-2026,93.2513
14-05-2026,93.7051
13-05-2026,92.5879
12-05-2026,92.5263
11-05-2026,94.1993
08-05-2026,95.5965
07-05-2026,96.1957
06-05-2026,95.8928
05-05-2026,94.5271
04-05-2026,94.8705
30-04-2026,94.4293
29-04-2026,95.0839
28-04-2026,94.6671
27-04-2026,95.2518
24-04-2026,94.5502
23-04-2026,95.4134
22-04-2026,96.3897
21-04-2026,96.9625
20-04-2026,96.1114
17-04-2026,96.0774
16-04-2026,95.5183
15-04-2026,95.4725
13-04-2026,94.0104
10-04-2026,94.516
09-04-2026,93.169
08-04-2026,93.932
07-04-2026,90.3926
06-04-2026,89.9748
02-04-2026,89.0173
01-04-2026,89.214
31-03-2026,87.8082
30-03-2026,87.8105
27-03-2026,89.8799
25-03-2026,91.8568
24-03-2026,90.3459
23-03-2026,88.4934
20-03-2026,91.0599
19-03-2026,90.685
18-03-2026,93.651
17-03-2026,92.7668
16-03-2026,91.8357
13-03-2026,91.1648
12-03-2026,93.0224
11-03-2026,93.8173
10-03-2026,95.1897
09-03-2026,94.0859
06-03-2026,95.6772
05-03-2026,96.7988
04-03-2026,95.6185
02-03-2026,97.2603
27-02-2026,98.4952
26-02-2026,99.4547
25-02-2026,99.3903
24-02-2026,99.0672
23-02-2026,99.8631
20-02-2026,99.2929
19-02-2026,98.9579
18-02-2026,100.4157
17-02-2026,99.8207
16-02-2026,99.7218
13-02-2026,98.9949
12-02-2026,100.2052
11-02-2026,100.5066
10-02-2026,100.4012
09-02-2026,100.1486
06-02-2026,99.4816
05-02-2026,99.4451
04-02-2026,99.9647
03-02-2026,99.4651
02-02-2026,97.1338
01-02-2026,96.3105
30-01-2026,98.2942
29-01-2026,98.7576
28-01-2026,98.4188
27-01-2026,97.4248
23-01-2026,96.7734
22-01-2026,98.0058
21-01-2026,97.5765
20-01-2026,98.2424
19-01-2026,99.6438
16-01-2026,100.0809
14-01-2026,99.6702
13-01-2026,99.479
12-01-2026,99.6265
09-01-2026,99.4568
08-01-2026,100.3675
07-01-2026,101.5449
06-01-2026,101.3943
05-01-2026,101.5941
02-01-2026,101.9834
01-01-2026,101.183
31-12-2025,100.8189
30-12-2025,99.8706
29-12-2025,99.8672
26-12-2025,100.2322
24-12-2025,100.4612
23-12-2025,100.5865
22-12-2025,100.5428
19-12-2025,99.6018
18-12-2025,98.8663
17-12-2025,98.7561
16-12-2025,99.1508
15-12-2025,99.6742
12-12-2025,99.7505
11-12-2025,98.9863
10-12-2025,98.4626
09-12-2025,99.0675
08-12-2025,99.214
05-12-2025,100.1641
04-12-2025,99.6197
03-12-2025,99.5955
02-12-2025,99.9173
01-12-2025,100.4328
28-11-2025,100.4988
27-11-2025,100.6079
26-11-2025,100.5733
25-11-2025,99.1653
24-11-2025,99.361
21-11-2025,99.5587
20-11-2025,100.0527
19-11-2025,99.6364
18-11-2025,99.3019
17-11-2025,99.7518
14-11-2025,99.268
13-11-2025,99.2783
12-11-2025,99.1599
11-11-2025,98.785
10-11-2025,98.1124
07-11-2025,97.815
06-11-2025,97.9865
04-11-2025,98.1597
03-11-2025,98.5358
31-10-2025,97.9983
30-10-2025,98.687
29-10-2025,99.261
28-10-2025,98.6073
27-10-2025,98.8232
24-10-2025,98.0288
23-10-2025,98.5149
20-10-2025,98.6121
17-10-2025,98.1294
16-10-2025,97.6348
15-10-2025,96.8221
14-10-2025,96.2474
13-10-2025,96.3208
10-10-2025,96.3025
09-10-2025,95.9509
08-10-2025,95.2942
07-10-2025,95.598
06-10-2025,95.3618
03-10-2025,94.6207
01-10-2025,94.2734
30-09-2025,93.4191
29-09-2025,93.6075
26-09-2025,93.5935
25-09-2025,94.6165
24-09-2025,95.1203
23-09-2025,95.697
22-09-2025,95.933
19-09-2025,96.318
18-09-2025,96.7135
17-09-2025,96.3133
16-09-2025,95.9364
15-09-2025,95.4338
12-09-2025,95.5278
11-09-2025,95.2446
10-09-2025,95.2178
09-09-2025,94.8828
08-09-2025,94.812
05-09-2025,94.7418
04-09-2025,94.7927
03-09-2025,94.9281
02-09-2025,94.368
01-09-2025,94.5699
29-08-2025,93.6184
28-08-2025,94.2193
26-08-2025,95.2747
25-08-2025,96.6315
22-08-2025,96.4614
21-08-2025,97.0247
20-08-2025,97.0535
19-08-2025,96.7945
18-08-2025,96.3179
14-08-2025,95.5827
13-08-2025,95.5108
12-08-2025,94.8806
11-08-2025,94.8622
08-08-2025,93.8846
07-08-2025,94.882
06-08-2025,94.7188
05-08-2025,95.0267
04-08-2025,95.4218
01-08-2025,94.8258
31-07-2025,95.816
