FDT,FPR
31-07-2026,190.4838
30-07-2026,189.8453
29-07-2026,189.9991
28-07-2026,188.08
27-07-2026,188.0489
24-07-2026,185.8888
23-07-2026,186.7455
22-07-2026,188.1695
21-07-2026,190.0395
20-07-2026,189.6008
17-07-2026,189.2765
16-07-2026,189.0751
15-07-2026,188.9441
14-07-2026,188.1698
13-07-2026,188.9636
10-07-2026,188.6948
09-07-2026,186.8439
08-07-2026,184.6545
07-07-2026,187.6653
06-07-2026,188.427
03-07-2026,187.6969
02-07-2026,187.6115
01-07-2026,186.5525
30-06-2026,185.1042
29-06-2026,184.4817
25-06-2026,184.9425
24-06-2026,184.7611
23-06-2026,183.7947
22-06-2026,185.3999
19-06-2026,184.8009
18-06-2026,185.1703
17-06-2026,184.536
16-06-2026,183.8346
15-06-2026,183.2344
12-06-2026,180.8213
11-06-2026,176.6249
10-06-2026,177.15
09-06-2026,178.4946
08-06-2026,176.5908
05-06-2026,178.9146
04-06-2026,179.1948
03-06-2026,178.216
02-06-2026,178.3054
01-06-2026,177.5884
29-05-2026,179.4837
27-05-2026,181.1861
26-05-2026,180.9386
25-05-2026,181.2076
22-05-2026,179.1497
21-05-2026,178.8127
20-05-2026,178.4121
19-05-2026,177.5194
18-05-2026,176.7443
15-05-2026,177.4266
14-05-2026,178.0739
13-05-2026,176.2851
12-05-2026,175.819
11-05-2026,179.7804
08-05-2026,182.0205
07-05-2026,182.6586
06-05-2026,181.5967
05-05-2026,179.2595
04-05-2026,179.7112
30-04-2026,177.8179
29-04-2026,179.1207
28-04-2026,178.4392
27-04-2026,179.2532
24-04-2026,176.8705
23-04-2026,178.7342
22-04-2026,180.1224
21-04-2026,180.3069
20-04-2026,179.2243
17-04-2026,179.2979
16-04-2026,178.0495
15-04-2026,176.945
13-04-2026,173.7043
10-04-2026,174.5406
09-04-2026,172.1382
08-04-2026,172.7282
07-04-2026,166.3705
06-04-2026,165.9562
02-04-2026,164.1401
01-04-2026,164.5197
31-03-2026,161.4176
30-03-2026,161.4216
27-03-2026,165.0152
25-03-2026,168.2886
24-03-2026,164.9994
23-03-2026,161.2418
20-03-2026,166.75
19-03-2026,166.0053
18-03-2026,171.3729
17-03-2026,169.0889
16-03-2026,167.1218
13-03-2026,166.5859
12-03-2026,170.4673
11-03-2026,170.9217
10-03-2026,172.6148
09-03-2026,170.3267
06-03-2026,173.1287
05-03-2026,174.5501
04-03-2026,172.3709
02-03-2026,175.5882
27-02-2026,178.3459
26-02-2026,180.4336
25-02-2026,179.9966
24-02-2026,179.0305
23-02-2026,180.6461
20-02-2026,179.8513
19-02-2026,179.5513
18-02-2026,182.2795
17-02-2026,181.3234
16-02-2026,181.0531
13-02-2026,181.124
12-02-2026,184.0901
11-02-2026,185.1993
10-02-2026,185.497
09-02-2026,184.3831
06-02-2026,182.1468
05-02-2026,182.41
04-02-2026,183.5612
03-02-2026,183.0639
02-02-2026,177.6666
01-02-2026,176.2007
30-01-2026,179.5111
29-01-2026,179.9659
28-01-2026,179.4284
27-01-2026,176.5475
23-01-2026,175.2646
22-01-2026,177.97
21-01-2026,177.0081
20-01-2026,177.8747
19-01-2026,181.4658
16-01-2026,182.9363
14-01-2026,182.8475
13-01-2026,182.299
12-01-2026,182.0101
09-01-2026,182.1152
08-01-2026,184.1574
07-01-2026,187.1432
06-01-2026,186.4865
05-01-2026,187.2237
02-01-2026,187.6607
01-01-2026,186.3542
