FDT,FPR
21-07-2026,103.9883
20-07-2026,104.0302
17-07-2026,103.9097
16-07-2026,104.1365
15-07-2026,104.1668
14-07-2026,103.9963
13-07-2026,104.6395
10-07-2026,104.4919
09-07-2026,103.6539
08-07-2026,102.8012
07-07-2026,103.8381
06-07-2026,104.0702
03-07-2026,103.3672
02-07-2026,103.6308
01-07-2026,103.145
30-06-2026,102.881
29-06-2026,102.5493
25-06-2026,102.7801
24-06-2026,102.9735
23-06-2026,102.4391
22-06-2026,103.0816
19-06-2026,102.5226
18-06-2026,102.5485
17-06-2026,102.071
16-06-2026,101.9425
15-06-2026,101.7566
12-06-2026,100.8302
11-06-2026,99.3239
10-06-2026,99.6098
09-06-2026,100.1812
08-06-2026,99.7189
05-06-2026,100.4858
04-06-2026,100.8359
03-06-2026,100.4242
02-06-2026,100.3474
01-06-2026,100.4363
29-05-2026,100.7833
27-05-2026,101.403
26-05-2026,101.7743
25-05-2026,101.5528
22-05-2026,100.9176
21-05-2026,100.9037
20-05-2026,101.0878
19-05-2026,100.905
18-05-2026,100.2022
15-05-2026,100.7748
14-05-2026,100.7488
13-05-2026,99.9158
12-05-2026,99.7907
11-05-2026,101.3435
08-05-2026,102.1675
07-05-2026,102.3207
06-05-2026,101.6829
05-05-2026,100.3648
04-05-2026,100.6129
30-04-2026,100.2118
29-04-2026,100.7199
28-04-2026,100.3476
27-04-2026,100.3537
24-04-2026,99.4009
23-04-2026,100.2271
22-04-2026,101.0357
21-04-2026,101.4892
20-04-2026,101.3943
17-04-2026,101.4642
16-04-2026,100.7983
15-04-2026,100.4993
13-04-2026,98.8042
10-04-2026,99.2699
09-04-2026,98.3489
08-04-2026,98.5377
07-04-2026,96.0565
06-04-2026,95.8793
02-04-2026,95.015
01-04-2026,95.1948
31-03-2026,94.0361
30-03-2026,94.0343
27-03-2026,95.1941
25-03-2026,96.5686
24-03-2026,95.2904
23-03-2026,93.9049
20-03-2026,95.9512
19-03-2026,95.7651
18-03-2026,97.8242
17-03-2026,97.12
16-03-2026,96.4205
13-03-2026,96.144
12-03-2026,97.8352
11-03-2026,97.836
10-03-2026,98.5548
09-03-2026,97.7955
06-03-2026,98.7654
05-03-2026,99.0266
04-03-2026,98.0677
02-03-2026,99.2507
27-02-2026,100.1997
26-02-2026,101.1325
25-02-2026,101.0638
24-02-2026,100.4717
23-02-2026,100.9935
20-02-2026,100.577
19-02-2026,100.4989
18-02-2026,101.3681
17-02-2026,101.0327
16-02-2026,100.9689
13-02-2026,101.1651
12-02-2026,102.5976
11-02-2026,102.9996
10-02-2026,103.1305
09-02-2026,102.6099
06-02-2026,101.5804
05-02-2026,101.787
04-02-2026,102.3105
03-02-2026,102.0126
02-02-2026,99.7026
01-02-2026,99.0164
30-01-2026,100.6854
29-01-2026,100.9683
28-01-2026,101.0208
27-01-2026,100.2293
23-01-2026,99.9111
22-01-2026,100.9111
21-01-2026,100.1958
20-01-2026,100.3959
19-01-2026,101.7999
16-01-2026,102.3078
14-01-2026,102.0802
13-01-2026,101.8421
12-01-2026,101.5579
09-01-2026,101.5457
08-01-2026,102.3821
07-01-2026,103.8374
06-01-2026,103.5988
05-01-2026,103.6273
02-01-2026,103.903
01-01-2026,103.4177
31-12-2025,103.1956
30-12-2025,102.6183
29-12-2025,102.7177
26-12-2025,103.0907
24-12-2025,103.4224
23-12-2025,103.3913
22-12-2025,103.4768
19-12-2025,102.5548
18-12-2025,101.8322
17-12-2025,101.4326
16-12-2025,101.7263
15-12-2025,102.2019
12-12-2025,102.3603
11-12-2025,101.6259
10-12-2025,101.2942
09-12-2025,102.022
08-12-2025,102.0094
05-12-2025,103.02
04-12-2025,102.5793
03-12-2025,102.5563
02-12-2025,102.7683
01-12-2025,103.0455
28-11-2025,102.9856
27-11-2025,103.2568
26-11-2025,103.3779
25-11-2025,102.3586
24-11-2025,102.3062
21-11-2025,102.3384
20-11-2025,102.9323
19-11-2025,102.6274
18-11-2025,102.3583
17-11-2025,102.6127
14-11-2025,102.2605
13-11-2025,102.1154
12-11-2025,102.4216
11-11-2025,101.8182
10-11-2025,101.3622
07-11-2025,101.0101
06-11-2025,100.7854
04-11-2025,101.2255
03-11-2025,101.4729
31-10-2025,100.9008
30-10-2025,101.1643
29-10-2025,101.6046
28-10-2025,101.2114
27-10-2025,101.412
24-10-2025,100.7345
23-10-2025,101.1957
20-10-2025,100.9214
17-10-2025,100.3491
16-10-2025,100.252
15-10-2025,99.8404
14-10-2025,99.2906
13-10-2025,99.4494
10-10-2025,99.2392
09-10-2025,99.07
08-10-2025,98.6824
07-10-2025,98.8792
06-10-2025,98.5828
03-10-2025,97.8636
01-10-2025,97.3815
30-09-2025,96.7725
29-09-2025,97.0622
26-09-2025,96.8998
25-09-2025,97.9664
24-09-2025,98.2989
23-09-2025,98.6384
22-09-2025,98.9179
19-09-2025,99.3952
18-09-2025,99.3474
17-09-2025,99.1799
16-09-2025,98.9049
15-09-2025,98.7046
12-09-2025,98.4934
11-09-2025,98.1765
10-09-2025,98.3867
09-09-2025,98.1863
08-09-2025,97.9978
05-09-2025,98.0511
04-09-2025,97.9233
03-09-2025,98.0455
02-09-2025,97.5794
01-09-2025,97.3254
29-08-2025,96.4644
28-08-2025,97.0186
26-08-2025,97.9257
25-08-2025,99.0575
22-08-2025,98.795
21-08-2025,98.8583
20-08-2025,99.1267
19-08-2025,98.6826
18-08-2025,98.4713
14-08-2025,97.7368
13-08-2025,97.5028
12-08-2025,97.0185
11-08-2025,97.1406
08-08-2025,96.5534
07-08-2025,97.3015
06-08-2025,97.1708
05-08-2025,98.0304
04-08-2025,98.1866
01-08-2025,97.6556
31-07-2025,98.5575
30-07-2025,98.8438
29-07-2025,98.7144
28-07-2025,98.3679
25-07-2025,99.0179
24-07-2025,100.3439
23-07-2025,100.4867
22-07-2025,100.0079
