FDT,FPR
31-07-2026,42.3672
30-07-2026,42.3505
29-07-2026,42.3857
28-07-2026,42.4304
27-07-2026,42.4423
24-07-2026,42.312
23-07-2026,42.2876
22-07-2026,42.332
21-07-2026,42.3743
20-07-2026,42.3607
17-07-2026,42.3797
16-07-2026,42.4093
15-07-2026,42.3718
14-07-2026,42.3293
13-07-2026,42.4796
10-07-2026,42.4873
09-07-2026,42.4145
08-07-2026,42.3857
07-07-2026,42.5283
06-07-2026,42.5543
03-07-2026,42.5118
02-07-2026,42.5324
01-07-2026,42.4546
30-06-2026,42.4616
29-06-2026,42.4032
25-06-2026,42.3086
24-06-2026,42.1657
23-06-2026,42.0576
22-06-2026,42.007
19-06-2026,41.9475
18-06-2026,41.9735
17-06-2026,41.8964
16-06-2026,41.8996
15-06-2026,41.8777
12-06-2026,41.8053
11-06-2026,41.7116
10-06-2026,41.7389
09-06-2026,41.7806
08-06-2026,41.6533
05-06-2026,41.5658
04-06-2026,41.3681
03-06-2026,41.3276
02-06-2026,41.3552
01-06-2026,41.323
29-05-2026,41.3424
27-05-2026,41.3101
26-05-2026,41.2808
25-05-2026,41.2677
22-05-2026,41.1337
21-05-2026,41.0984
20-05-2026,41.1408
19-05-2026,41.0918
18-05-2026,41.0409
15-05-2026,41.2113
14-05-2026,41.2932
13-05-2026,41.2645
12-05-2026,41.2649
11-05-2026,41.3155
08-05-2026,41.4147
07-05-2026,41.4714
06-05-2026,41.4474
05-05-2026,41.2391
04-05-2026,41.2782
30-04-2026,41.225
29-04-2026,41.2936
28-04-2026,41.309
27-04-2026,41.36
24-04-2026,41.3287
23-04-2026,41.3754
22-04-2026,41.4451
21-04-2026,41.4573
20-04-2026,41.4439
17-04-2026,41.409
16-04-2026,41.4133
15-04-2026,41.4174
13-04-2026,41.2499
10-04-2026,41.2868
09-04-2026,41.1754
08-04-2026,41.2118
07-04-2026,40.9006
06-04-2026,40.898
02-04-2026,40.7512
01-04-2026,40.8607
31-03-2026,40.8537
30-03-2026,40.8467
27-03-2026,40.9142
25-03-2026,41.0401
24-03-2026,41.0588
23-03-2026,41.1106
20-03-2026,41.285
19-03-2026,41.3251
18-03-2026,41.3182
17-03-2026,41.3111
16-03-2026,41.3146
13-03-2026,41.3641
12-03-2026,41.3886
11-03-2026,41.447
10-03-2026,41.4421
09-03-2026,41.319
06-03-2026,41.3954
05-03-2026,41.4375
04-03-2026,41.3817
02-03-2026,41.4483
27-02-2026,41.4476
26-02-2026,41.4016
25-02-2026,41.3951
24-02-2026,41.363
23-02-2026,41.3306
20-02-2026,41.2938
19-02-2026,41.3528
18-02-2026,41.3463
17-02-2026,41.363
16-02-2026,41.3307
13-02-2026,41.27
12-02-2026,41.2253
11-02-2026,41.186
10-02-2026,41.1209
09-02-2026,41.0879
06-02-2026,41.0906
05-02-2026,41.2331
04-02-2026,41.1365
03-02-2026,41.0703
02-02-2026,40.9875
01-02-2026,41.1112
30-01-2026,41.0982
29-01-2026,41.0417
28-01-2026,41.0225
27-01-2026,40.9869
23-01-2026,41.0391
22-01-2026,41.0498
21-01-2026,40.9959
20-01-2026,40.9693
19-01-2026,40.9728
16-01-2026,40.991
14-01-2026,41.0553
13-01-2026,41.0907
12-01-2026,41.1348
09-01-2026,41.0744
08-01-2026,41.0694
07-01-2026,41.0974
06-01-2026,41.0866
05-01-2026,41.0736
02-01-2026,41.1626
01-01-2026,41.1746
31-12-2025,41.1887
30-12-2025,41.1613
29-12-2025,41.159
26-12-2025,41.1361
24-12-2025,41.1456
23-12-2025,40.9735
22-12-2025,40.9224
19-12-2025,41.0501
18-12-2025,41.0507
17-12-2025,41.0193
16-12-2025,41.0317
15-12-2025,41
12-12-2025,40.9656
11-12-2025,40.94
10-12-2025,40.8807
09-12-2025,40.9525
08-12-2025,41.0982
05-12-2025,41.1453
04-12-2025,41.0574
03-12-2025,41.0573
02-12-2025,41.0666
01-12-2025,40.9954
28-11-2025,41.058
27-11-2025,41.1304
26-11-2025,41.1406
25-11-2025,41.1112
24-11-2025,41.0472
21-11-2025,40.9811
20-11-2025,41.017
19-11-2025,41.0018
18-11-2025,40.99
17-11-2025,40.9604
14-11-2025,40.9905
13-11-2025,40.9997
12-11-2025,41.0386
11-11-2025,41.0261
10-11-2025,41.0255
07-11-2025,41.0096
06-11-2025,41.0207
04-11-2025,40.9965
03-11-2025,40.9732
31-10-2025,40.9827
30-10-2025,40.9687
29-10-2025,41.0718
28-10-2025,41.06
27-10-2025,41.0571
24-10-2025,41.0639
23-10-2025,41.1258
20-10-2025,41.1594
17-10-2025,41.1271
16-10-2025,41.1858
15-10-2025,41.2103
14-10-2025,41.1579
13-10-2025,41.1758
10-10-2025,41.1094
09-10-2025,41.0638
08-10-2025,41.0776
07-10-2025,41.0598
06-10-2025,41.0424
03-10-2025,40.9858
01-10-2025,40.9039
30-09-2025,40.7935
29-09-2025,40.813
26-09-2025,40.7941
25-09-2025,40.7802
24-09-2025,40.7749
23-09-2025,40.7856
22-09-2025,40.7551
19-09-2025,40.7492
18-09-2025,40.6914
17-09-2025,40.7347
16-09-2025,40.6643
15-09-2025,40.6551
12-09-2025,40.6441
11-09-2025,40.6242
10-09-2025,40.6279
09-09-2025,40.6519
08-09-2025,40.6867
05-09-2025,40.6741
04-09-2025,40.536
03-09-2025,40.4096
02-09-2025,40.3162
01-09-2025,40.3238
29-08-2025,40.3086
28-08-2025,40.4252
26-08-2025,40.2584
25-08-2025,40.3396
22-08-2025,40.4137
21-08-2025,40.4166
20-08-2025,40.4513
19-08-2025,40.3929
18-08-2025,40.4457
14-08-2025,40.5804
13-08-2025,40.4332
12-08-2025,40.4394
11-08-2025,40.5433
08-08-2025,40.645
07-08-2025,40.6625
06-08-2025,40.6335
05-08-2025,40.8131
04-08-2025,40.8463
01-08-2025,40.7598
31-07-2025,40.7227
