FDT,FPR
21-07-2026,37.2895
20-07-2026,37.2745
17-07-2026,37.272
16-07-2026,37.2594
15-07-2026,37.2381
14-07-2026,37.2255
13-07-2026,37.2578
10-07-2026,37.259
09-07-2026,37.2278
08-07-2026,37.2109
07-07-2026,37.2667
06-07-2026,37.2691
03-07-2026,37.2575
02-07-2026,37.2489
01-07-2026,37.2293
30-06-2026,37.2204
29-06-2026,37.203
25-06-2026,37.1725
24-06-2026,37.1299
23-06-2026,37.1119
22-06-2026,37.0972
19-06-2026,37.0782
18-06-2026,37.0807
17-06-2026,37.065
16-06-2026,37.072
15-06-2026,37.0625
12-06-2026,37.0238
11-06-2026,36.9951
10-06-2026,37.0098
09-06-2026,37.008
08-06-2026,36.958
05-06-2026,36.9079
04-06-2026,36.8174
03-06-2026,36.7888
02-06-2026,36.7961
01-06-2026,36.7856
29-05-2026,36.7695
27-05-2026,36.7523
26-05-2026,36.7334
25-05-2026,36.7231
22-05-2026,36.6762
21-05-2026,36.653
20-05-2026,36.7148
19-05-2026,36.7091
18-05-2026,36.7024
15-05-2026,36.7336
14-05-2026,36.7514
13-05-2026,36.7602
12-05-2026,36.7658
11-05-2026,36.7759
08-05-2026,36.7812
07-05-2026,36.7834
06-05-2026,36.7586
05-05-2026,36.7021
04-05-2026,36.7059
30-04-2026,36.6804
29-04-2026,36.7027
28-04-2026,36.7271
27-04-2026,36.7277
24-04-2026,36.7179
23-04-2026,36.7269
22-04-2026,36.7441
21-04-2026,36.7444
20-04-2026,36.7371
17-04-2026,36.716
16-04-2026,36.7061
15-04-2026,36.7004
13-04-2026,36.6516
10-04-2026,36.6395
09-04-2026,36.6269
08-04-2026,36.6059
07-04-2026,36.5114
06-04-2026,36.498
02-04-2026,36.468
01-04-2026,36.4971
31-03-2026,36.4912
30-03-2026,36.4853
27-03-2026,36.4798
25-03-2026,36.4932
24-03-2026,36.4988
23-03-2026,36.5028
20-03-2026,36.5325
19-03-2026,36.5413
18-03-2026,36.5357
17-03-2026,36.513
16-03-2026,36.5074
13-03-2026,36.5053
12-03-2026,36.5197
11-03-2026,36.5401
10-03-2026,36.545
09-03-2026,36.5375
06-03-2026,36.5489
05-03-2026,36.5519
04-03-2026,36.5378
02-03-2026,36.56
27-02-2026,36.5396
26-02-2026,36.5315
25-02-2026,36.5191
24-02-2026,36.5122
23-02-2026,36.5011
20-02-2026,36.4938
19-02-2026,36.503
18-02-2026,36.4976
17-02-2026,36.4959
16-02-2026,36.4872
13-02-2026,36.4703
12-02-2026,36.4425
11-02-2026,36.4171
10-02-2026,36.4024
09-02-2026,36.3872
06-02-2026,36.3676
05-02-2026,36.392
04-02-2026,36.3649
03-02-2026,36.3221
02-02-2026,36.2892
01-02-2026,36.3017
30-01-2026,36.2905
29-01-2026,36.2607
28-01-2026,36.2571
27-01-2026,36.2643
23-01-2026,36.2446
22-01-2026,36.2469
21-01-2026,36.2298
20-01-2026,36.2383
19-01-2026,36.2451
16-01-2026,36.2497
14-01-2026,36.253
13-01-2026,36.2727
12-01-2026,36.2886
09-01-2026,36.2716
08-01-2026,36.2581
07-01-2026,36.253
06-01-2026,36.258
05-01-2026,36.2507
02-01-2026,36.2563
01-01-2026,36.2518
31-12-2025,36.257
30-12-2025,36.2423
29-12-2025,36.2496
26-12-2025,36.2289
24-12-2025,36.2269
23-12-2025,36.1828
22-12-2025,36.1789
19-12-2025,36.1745
18-12-2025,36.1709
17-12-2025,36.1739
16-12-2025,36.1679
15-12-2025,36.1627
12-12-2025,36.1596
11-12-2025,36.1492
10-12-2025,36.1522
09-12-2025,36.1567
08-12-2025,36.1836
05-12-2025,36.169
04-12-2025,36.1453
03-12-2025,36.1433
02-12-2025,36.1414
01-12-2025,36.1347
28-11-2025,36.1439
27-11-2025,36.1402
26-11-2025,36.1353
25-11-2025,36.1214
24-11-2025,36.1046
21-11-2025,36.0848
20-11-2025,36.0891
19-11-2025,36.0766
18-11-2025,36.0628
17-11-2025,36.0667
14-11-2025,36.0487
13-11-2025,36.0108
12-11-2025,36.007
11-11-2025,36.0031
10-11-2025,35.9962
07-11-2025,35.981
06-11-2025,35.9697
04-11-2025,35.9594
03-11-2025,35.9541
31-10-2025,35.9406
30-10-2025,35.9394
29-10-2025,35.9396
