FDT,FPR
31-07-2026,67.8521
30-07-2026,67.7304
29-07-2026,67.7902
28-07-2026,67.4798
27-07-2026,67.3906
24-07-2026,67.022
23-07-2026,67.0351
22-07-2026,67.3422
21-07-2026,67.713
20-07-2026,67.7296
17-07-2026,67.6512
16-07-2026,67.7642
15-07-2026,67.7587
14-07-2026,67.6707
13-07-2026,68.0509
10-07-2026,67.9849
09-07-2026,67.5232
08-07-2026,67.1371
07-07-2026,67.6538
06-07-2026,67.6971
03-07-2026,67.4176
02-07-2026,67.4879
01-07-2026,67.2254
30-06-2026,67.1168
29-06-2026,67.0135
25-06-2026,67.0748
24-06-2026,67.1539
23-06-2026,66.8972
22-06-2026,67.1207
19-06-2026,66.8119
18-06-2026,66.9117
17-06-2026,66.7043
16-06-2026,66.6215
15-06-2026,66.5355
12-06-2026,66.1034
11-06-2026,65.4577
10-06-2026,65.5806
09-06-2026,65.8507
08-06-2026,65.5599
05-06-2026,65.841
04-06-2026,65.8925
03-06-2026,65.7156
02-06-2026,65.7953
01-06-2026,65.8021
29-05-2026,65.928
27-05-2026,66.1735
26-05-2026,66.3051
25-05-2026,66.1848
22-05-2026,65.8341
21-05-2026,65.7981
20-05-2026,65.9495
19-05-2026,65.8404
18-05-2026,65.484
15-05-2026,65.7813
14-05-2026,65.8194
13-05-2026,65.4688
12-05-2026,65.4431
11-05-2026,66.1143
08-05-2026,66.5321
07-05-2026,66.6315
06-05-2026,66.4144
05-05-2026,65.7791
04-05-2026,65.8499
30-04-2026,65.6281
29-04-2026,65.8408
28-04-2026,65.7218
27-04-2026,65.7522
24-04-2026,65.2765
23-04-2026,65.7042
22-04-2026,66.0932
21-04-2026,66.3379
20-04-2026,66.2884
17-04-2026,66.2825
16-04-2026,66.0111
15-04-2026,65.9183
13-04-2026,65.0955
10-04-2026,65.313
09-04-2026,64.9406
08-04-2026,65.0566
07-04-2026,63.847
06-04-2026,63.7183
02-04-2026,63.3034
01-04-2026,63.4121
31-03-2026,62.9399
30-03-2026,62.9356
27-03-2026,63.5379
